,MSSR_1.0,Turnover,PctOfHomesIncreasingInValues,mimi,HS_StudentTeachRatio,MS_StudentTeachRatio,count_metro_bus_km,PriceIndex,FreddieMac15yr,distance_public_school_arts_center_km,MSSR_2.0,ListDate_dt_month,HSSR_1.0,CloseDate_dt_month,qcut_CloseDate_dt_month
0,1.0,4.8344,10.16,69.3,10.3,7.4,65,167.1401414,4.33,2.0743527538,0.0,3,0.0,3,0
1,0.0,4.2197,72.67,67.2,12.6,11.5,38,171.19616330000005,3.03,1.7799164159,1.0,5,0.0,7,0
2,1.0,4.9368,89.85,79.8,10.7,10.7,140,188.9390719,3.35,2.9582687909,0.0,2,0.0,2,0
3,1.0,5.0592,90.92,80.1,10.7,10.7,140,188.1609222,3.48,2.9582687909,0.0,1,0.0,1,0
4,1.0,5.5488,60.3,78.7,10.7,10.7,140,195.0863121,3.25,2.9582687909,0.0,8,0.0,8,0
5,1.0,5.1,88.12,80.3,10.7,10.7,140,190.6250739,3.36,2.9582687909,0.0,3,0.0,3,0
6,1.0,5.2632,76.75,79.6,10.7,10.7,140,194.8306605,3.29,2.9582687909,0.0,5,0.0,6,0
7,1.0,4.9368,89.85,79.8,10.7,10.7,140,188.9390719,3.35,2.9582687909,0.0,2,0.0,3,0
8,1.0,5.3448,72.28,79.3,10.7,10.7,140,195.9526553,3.27,2.9582687909,0.0,6,0.0,7,0
9,0.0,5.3557,92.57,71.2,9.6,10.6,129,179.37516409999995,2.76,2.5647486239,0.0,3,0.0,4,0
10,1.0,5.5489999999999995,96.89,77.3,10.5,9.0,70,189.27894,3.43,1.3003448804,0.0,7,1.0,7,0
11,1.0,5.2176,95.07,71.5,10.5,9.0,72,182.5429545,2.66,1.0687889334,0.0,4,1.0,4,0
12,0.0,4.5215,7.98,68.7,13.2,11.1,63,170.4751925,4.18,10.4117139292,0.0,6,0.0,2,0
13,0.0,4.533,11.23,68.6,13.2,11.1,63,164.18939319999996,4.06,10.4117139292,0.0,12,0.0,4,0
14,0.0,3.8805,8.72,69.4,13.2,10.2,90,166.0036383,4.37,10.443343113600001,0.0,2,0.0,2,0
15,1.0,8.3333,82.13,79.0,15.1,12.4,99,195.8744368,3.24,3.4625362168,0.0,7,0.0,8,0
16,0.0,4.3569,53.57,68.9,13.2,13.1,40,170.1945226,4.28,5.5754925910000015,0.0,5,0.0,5,0
17,0.0,4.3099,92.77,79.3,12.8,14.7,29,189.5440738,3.52,8.4518938424,1.0,9,1.0,11,0
18,0.0,5.1595,90.94,78.1,15.2,13.5,37,189.236479,3.27,3.450687209,0.0,10,0.0,5,0
19,1.0,4.7162,11.18,69.4,10.0,11.9,78,165.8540725,4.44,9.3855074491,0.0,1,1.0,4,0
20,1.0,4.1778,90.17,75.5,15.5,11.5,66,187.9588779,3.17,10.669507790299999,0.0,6,1.0,6,0
21,0.0,4.751,17.33,66.6,13.2,11.1,78,166.02525580000002,3.66,10.990741303699998,0.0,10,0.0,11,0
22,0.0,3.9615,18.57,67.0,12.6,12.3,78,168.14317490000005,3.46,10.6685921422,0.0,8,1.0,2,0
23,1.0,5.1633,15.51,68.7,7.1,11.5,70,168.16883080000005,3.82,8.6435913711,0.0,5,1.0,6,0
24,0.0,6.9944,96.4,78.1,9.6,12.3,104,189.236479,3.27,0.6839349344,1.0,10,0.0,10,0
25,0.0,3.9919,25.02,68.0,15.0,11.5,87,168.7131123,3.68,2.9766937512,1.0,7,1.0,8,0
26,1.0,7.0945,41.09,69.4,10.0,12.0,105,166.0036383,4.37,0.3554617354,0.0,2,1.0,4,0
27,0.0,3.747,41.46,68.6,12.6,9.7,90,164.18939319999996,4.06,3.0072982083,0.0,12,0.0,12,0
28,0.0,4.7087,46.71,68.0,11.2,10.6,80,168.89499540000003,3.69,1.8548495311,0.0,6,0.0,11,0
29,0.0,4.7705,63.77,67.5,10.0,10.7,80,167.9615905,3.91,1.8548495311,1.0,8,1.0,9,0
30,0.0,5.0725,48.73,69.3,10.0,10.7,80,167.1401414,4.33,1.8548495311,1.0,3,1.0,3,0
31,0.0,5.1112,83.54,67.9,9.6,10.6,80,174.9641855,2.66,1.8548495311,0.0,11,0.0,6,0
32,0.0,4.9008,80.41,66.9,9.6,10.6,80,174.1138544,2.85,1.8548495311,0.0,7,0.0,8,0
33,0.0,5.0694,38.97,66.3,11.2,10.6,80,164.6735404,3.25,1.8548495311,0.0,12,0.0,3,0
34,0.0,4.8913,50.39,68.9,10.0,10.7,80,170.1945226,4.28,1.8548495311,1.0,5,1.0,6,0
35,0.0,3.7395,91.04,67.9,12.6,11.5,99,174.9641855,2.66,3.0879285719,1.0,11,0.0,1,0
36,1.0,8.2926,76.42,78.7,10.7,10.7,167,195.0863121,3.25,3.4688793077999995,0.0,8,0.0,8,0
37,1.0,8.2111,59.81,78.5,10.7,10.7,167,192.69357130000003,3.13,3.4688793077999995,0.0,12,0.0,12,0
38,1.0,8.2111,59.81,78.5,10.7,10.7,167,192.69357130000003,3.13,3.4688793077999995,0.0,12,0.0,12,0
39,1.0,6.2814,39.53,66.6,10.3,7.4,100,166.02525580000002,3.66,0.1508574125,0.0,10,0.0,11,0
40,0.0,4.7677,51.96,66.3,9.6,10.6,113,164.31463390000005,3.16,2.0686605568000003,0.0,2,0.0,2,0
41,0.0,6.834,92.68,68.5,9.6,12.3,101,174.7804831,2.66,0.9017452856,1.0,12,0.0,1,0
42,1.0,5.9231,61.54,78.8,15.1,13.4,77,193.6113816,3.19,3.2698741649,0.0,11,0.0,11,0
43,1.0,8.262,62.66,78.8,15.1,12.4,97,193.6113816,3.19,3.8951718337,0.0,11,0.0,12,0
44,0.0,3.7579,28.64,68.0,15.0,11.5,89,168.89499540000003,3.69,3.039279661,1.0,6,1.0,8,0
45,1.0,5.3809,12.29,68.6,10.0,11.9,75,164.18939319999996,4.06,8.9926178677,0.0,12,1.0,1,0
46,0.0,3.1933,57.61,67.1,12.6,11.5,80,173.0314193,2.95,3.2534562299000003,1.0,6,0.0,6,0
47,0.0,5.6563,67.63,66.3,11.2,12.3,112,164.6735404,3.25,1.2024768687,1.0,12,0.0,1,0
48,1.0,8.0379,89.23,79.3,10.7,10.7,146,195.9526553,3.27,3.0040026275,0.0,6,0.0,7,0
49,0.0,4.1160000000000005,92.39,70.5,12.6,11.5,85,176.82254369999995,2.77,2.9511111811,1.0,2,0.0,2,0
50,1.0,5.8723,29.07,68.0,11.7,9.0,94,168.89499540000003,3.69,0.1701829895,0.0,6,0.0,6,0
51,0.0,4.9819,61.78,68.0,10.0,10.7,115,169.4708133,4.04,2.1963536617,1.0,7,1.0,10,0
52,1.0,3.8066,28.15,67.2,15.5,11.5,76,171.19616330000005,3.03,8.786350457000001,0.0,5,1.0,9,0
53,0.0,2.4892,81.34,70.5,13.7,12.3,115,176.82254369999995,2.77,11.314994434,0.0,2,1.0,2,0
