,PctOfHomesDecreasingInValues,distance_grocery_km,distance_public_school_arts_center_km,distance_public_school_ye_km,ListPrice2_delta,FreddieMac15yr,PriceIndex,distance_cap_gain_school_km,SaleCount,TaxTotalLivingArea,count_metro_station_km,YearBuilt,Acres,Bedrooms,BasementY/N,Fireplaces,TotalTaxes2,DOMP,qcut_DOMP
0,83.26,1.6800772077,2.0743527538,1.8905986873,-0.118837740777016,4.33,167.1401414,2.189428015,2,1024.0,1,1950,0.08199999999999999,3,1,0,2967.0,10,0
1,16.48,1.7006965762,1.7799164159,1.0436363145,-0.15338645418326693,3.03,171.19616330000005,2.6741758825,1,1260.0,0,1987,0.0,2,0,1,2890.0,41,0
2,5.53,0.2851185459,2.9582687909,2.2606435214,-0.16135346756152125,3.35,188.9390719,2.9582761207,1,682.0,13,1941,0.0,1,0,0,2500.0,12,0
3,5.03,0.2851185459,2.9582687909,2.2606435214,-0.31024774774774777,3.48,188.1609222,2.9582761207,1,589.0,13,1941,0.0,1,0,0,2021.0,16,0
4,28.8,0.2851185459,2.9582687909,2.2606435214,-0.30030786453960256,3.25,195.0863121,2.9582761207,1,532.0,13,1891,0.0,1,0,0,1944.0,5,0
5,6.44,0.2851185459,2.9582687909,2.2606435214,-0.2926761347813979,3.36,190.6250739,2.9582761207,3,518.0,13,1891,0.0,1,0,0,1909.0,8,0
6,15.29,0.2851185459,2.9582687909,2.2606435214,0.05012601512181462,3.29,194.8306605,2.9582761207,1,677.0,13,1891,0.0,1,0,0,2294.0,13,0
7,5.53,0.2851185459,2.9582687909,2.2606435214,-0.3008976510067114,3.35,188.9390719,2.9582761207,2,448.0,13,1891,0.0,0,0,0,1766.0,26,0
8,19.85,0.2851185459,2.9582687909,2.2606435214,-0.10190903986524424,3.27,195.9526553,2.9582761207,2,532.0,13,1891,0.0,1,0,0,2061.0,35,0
9,3.92,0.4645581861,2.5647486239,2.5679464297,0.4959400374765772,2.76,179.37516409999995,2.5647557658,1,825.0,11,1891,0.0,1,0,1,2905.0,24,0
10,2.22,0.7437840419,1.3003448804,0.8200431101000001,0.9652665589660744,3.43,189.27894,1.7468519147,1,1758.0,0,1925,0.08199999999999999,4,1,1,3781.0,14,0
11,3.11,0.6692193506,1.0687889334,0.9507995855,0.08540417023707512,2.66,182.5429545,2.2264609695,1,1638.0,3,1919,0.044,4,1,0,2959.0,2,0
12,87.65,2.4973990381,10.4117139292,0.6980388339,-0.8396579369321219,4.18,170.4751925,0.8901438131999999,1,671.0,0,2002,0.0,1,0,0,1155.0,242,0
