,Bedrooms,distance_public_school_mid_km,distance_public_school_elem_km,distance_public_school_edu_campus_km,distance_metro_station_km,distance_metro_bus_km,distance_grocery_km,distance_cap_gain_school_km,count_metro_bus_km,AvgFamilyIncAdj_2010_14,mimi,FreddieMac15yr,PriceIndex,zip_20007,BathsHalf,PctOfHomesDecreasingInValues,MedianValuePerSqft,SaleCount,TaxTotalLivingArea,BathsFull,Levels,TotalTaxes2,Fireplaces,Acres,DOMP,ListPrice2,qcut_ListPrice2
0,3,1.8388913187,0.8164772757,4.8934521343,0.7206421809,0.0191389393,1.6800772077,2.189428015,65,92969.0,69.3,4.33,167.1401414,0.0,0.0,83.26,237.0,2,1024.0,2,3,2967.0,0,0.08199999999999999,10,269900,0
1,2,1.4710974318,1.3096751919,2.687364918,1.3321929287999998,0.1348681823,1.7006965762,2.6741758825,38,82854.0,67.2,3.03,171.19616330000005,0.0,1.0,16.48,236.0,1,1260.0,2,2,2890.0,1,0.0,41,255000,0
2,1,1.2864643355,0.6055205211,1.4175846896000002,0.5403710597,0.1995266078,0.2851185459,2.9582761207,140,145350.0,79.8,3.35,188.9390719,0.0,0.0,5.53,586.0,1,682.0,1,1,2500.0,0,0.0,12,299900,0
3,1,1.2864643355,0.6055205211,1.4175846896000002,0.5403710597,0.1995266078,0.2851185459,2.9582761207,140,145350.0,80.1,3.48,188.1609222,0.0,0.0,5.03,582.0,1,589.0,1,1,2021.0,0,0.0,16,245000,0
4,1,1.2864643355,0.6055205211,1.4175846896000002,0.5403710597,0.1995266078,0.2851185459,2.9582761207,140,145350.0,78.7,3.25,195.0863121,0.0,0.0,28.8,589.0,1,532.0,1,1,1944.0,0,0.0,5,250000,0
5,1,1.2864643355,0.6055205211,1.4175846896000002,0.5403710597,0.1995266078,0.2851185459,2.9582761207,140,145350.0,80.3,3.36,190.6250739,0.0,0.0,6.44,588.0,3,518.0,1,1,1909.0,0,0.0,8,254000,0
6,1,1.2864643355,0.6055205211,1.4175846896000002,0.5403710597,0.1995266078,0.2851185459,2.9582761207,140,145350.0,79.6,3.29,194.8306605,0.0,0.0,15.29,589.0,1,677.0,1,1,2294.0,0,0.0,13,375000,0
7,0,1.2864643355,0.6055205211,1.4175846896000002,0.5403710597,0.1995266078,0.2851185459,2.9582761207,140,145350.0,79.8,3.35,188.9390719,0.0,0.0,5.53,586.0,2,448.0,1,9,1766.0,0,0.0,26,249999,0
8,1,1.2864643355,0.6055205211,1.4175846896000002,0.5403710597,0.1995266078,0.2851185459,2.9582761207,140,145350.0,79.3,3.27,195.9526553,0.0,0.0,19.85,589.0,2,532.0,1,1,2061.0,0,0.0,35,319900,0
9,1,1.0754684112,0.4858293105,1.0176387844,0.2439942916,0.1673469691,0.4645581861,2.5647557658,129,145350.0,71.2,2.76,179.37516409999995,0.0,0.0,3.92,542.0,1,825.0,1,1,2905.0,1,0.0,24,479000,0
10,4,2.3016690439,0.32611069730000003,4.762598099,1.1100225521,0.0533178116,0.7437840419,1.7468519147,70,92969.0,77.3,3.43,189.27894,0.0,1.0,2.22,275.0,1,1758.0,3,3,3781.0,1,0.08199999999999999,14,729900,0
11,4,2.1369816878,0.5822584618,4.3242280023,0.835803528,0.0224258986,0.6692193506,2.2264609695,72,92969.0,71.5,2.66,182.5429545,0.0,1.0,3.11,264.0,1,1638.0,2,3,2959.0,0,0.044,2,380000,0
12,1,0.8901595588,0.5868910961,7.694735652699999,1.9787961305,0.1085968826,2.4973990381,0.8901438131999999,63,44289.0,68.7,4.18,170.4751925,0.0,0.0,87.65,172.0,1,671.0,1,1,1155.0,0,0.0,242,30000,0
13,1,0.8901595588,0.5868910961,7.694735652699999,1.9787961305,0.1085968826,2.4973990381,0.8901438131999999,63,44289.0,68.6,4.06,164.18939319999996,0.0,0.0,84.29,163.0,1,671.0,1,1,1155.0,0,0.0,129,21900,0
14,4,1.4671735925999998,0.4021922244,5.4100257028,0.9542536357,0.14260210939999998,0.5662714527,3.1686002841,90,51713.0,69.4,4.37,166.0036383,0.0,1.0,86.4,201.0,1,1200.0,3,3,2979.0,0,0.112,14,269000,0
15,3,1.0797339605,0.9992734498,0.4120070399,0.6331675957999999,0.1681167921,0.4847382734,1.5254645722,99,108639.0,79.0,3.24,195.8744368,0.0,0.0,10.65,512.0,1,1412.0,2,3,3472.0,0,0.017,46,567000,0
16,3,2.6633640811,1.0272677838,7.6583493679,2.366027206,0.0721310297,1.4682374625,3.4577441535,40,264688.0,68.9,4.28,170.1945226,0.0,2.0,24.19,437.0,1,1699.0,2,3,6558.0,1,0.198,5,795000,0
17,2,0.9380010929,0.5985639089,2.7483616526,1.5241578128,0.0610735978,2.0186562718000003,2.1210229965000003,29,52687.0,79.3,3.52,189.5440738,0.0,0.0,4.83,176.0,1,704.0,2,2,1551.0,0,0.065,72,179900,0
18,6,1.9131499909,0.8091640858,5.0312787274,1.2529397596,0.0566980696,1.3730336013999995,3.450685015,37,264688.0,78.1,3.27,189.236479,0.0,1.0,5.35,468.0,1,3450.0,4,3,14110.0,4,0.121,211,1795000,0
19,3,0.4031199911,0.454118344,3.3646643059,0.1970954176,0.0604679824,1.1087283187,0.4030907366,78,52687.0,69.4,4.44,165.8540725,0.0,1.0,86.13,192.0,1,1024.0,1,3,1948.0,0,0.076,82,185000,0
20,3,1.2591399461,0.803871935,4.7249841943,0.5099436216,0.1571426016,2.5028503413,1.2591098142,66,52687.0,75.5,3.17,187.9588779,0.0,2.0,6.77,173.0,1,1360.0,2,3,2558.0,0,0.059,6,240000,0
21,1,1.2465380031,0.3021197733,8.3478357729,2.3732280189,0.1307404526,2.8219647275,1.2465348162999998,78,44289.0,66.6,3.66,166.02525580000002,0.0,0.0,76.54,169.0,1,562.0,1,0,993.0,0,0.0,48,19900,0
