,Stat,ML#,Address,List Price,Close Price,Close Date,Bedrooms,Baths Full,Baths Half,Levels,Fireplaces,Basement Y/N,Acres,Year Built,DOMP,Total Taxes,Tax Total Living Area,Zip
0,Sold,DC6152854DC6152854,6100 32nd St Nw,"$675,000","$650,000",03-Oct-2006,3,2,1,3,1,Yes,0.077,1960,126,,"1,139",20015
1,Sold,DC6143423DC6143423,3620 Quesada St Nw,"$950,000","$950,000",11-Oct-2006,5,4,1,4,1,Yes,0.132,1941,104,"$6,954","1,696",20015
2,Sold,DC6138841DC6138841,3114 Oliver St Nw,"$725,000","$710,000",13-Oct-2006,4,2,0,2,2,Yes,0.118,1955,60,"$5,675","1,128",20015
3,Sold,DC6195051DC6195051,2809 McKinley Pl Nw,"$669,000","$679,000",15-Oct-2006,3,2,1,3,1,Yes,0.14,1940,6,"$5,599","1,568",20015
4,Sold,DC6181446DC6181446,3200 Tennyson St Nw,"$729,000","$729,000",18-Oct-2006,2,2,0,2,2,Yes,0.084,1933,10,"$5,451","1,593",20015
5,Sold,DC6210529DC6210529,5700 26th St Nw,"$685,000","$687,000",19-Oct-2006,4,4,1,4,1,Yes,0.159,1948,5,"$6,089",,20015
6,Sold,DC6188353DC6188353,5506 Utah Ave Nw,"$718,500","$705,000",20-Oct-2006,4,3,1,3,1,Yes,0.189,1951,62,"$6,343","2,051",20015
7,Sold,DC6132056DC6132056,5446 Broad Branch Rd Nw,"$580,000","$605,000",26-Oct-2006,3,2,0,3,2,Yes,0.112,1941,21,"$5,826","1,762",20015
8,Sold,DC6084306DC6084306,6314 28th Pl Nw,"$899,999","$875,000",31-Oct-2006,4,3,0,2,1,No,0.323,1961,108,"$6,497","1,484",20015
9,Sold,DC6089869DC6089869,2705 Rittenhouse St Nw,"$697,500","$685,000",31-Oct-2006,4,2,0,4,1,Yes,0.113,1948,61,,"1,927",20015
10,Sold,DC6187928DC6187928,5905 33rd St Nw,"$715,000","$720,000",31-Oct-2006,3,2,0,3,1,Yes,0.106,1931,6,"$5,942","2,123",20015
11,Sold,DC6217876DC6217876,4105 Harrison St Nw,"$649,000","$703,000",01-Nov-2006,5,2,2,2,1,Yes,0.102,1926,7,"$6,228","2,024",20015
12,Sold,DC6199655DC6199655,3515 Livingston St Nw,"$679,000","$615,000",08-Nov-2006,3,1,2,3,1,Yes,0.122,1929,21,"$5,654","1,560",20015
13,Sold,DC6058279DC6058279,5718 Moreland St Nw,"$769,000","$726,000",09-Nov-2006,4,3,1,2,2,Yes,0.108,1969,97,"$6,191",,20015
14,Sold,DC6176762DC6176762,5431 Connecticut Ave NW #3,"$265,000","$265,000",10-Nov-2006,1,1,0,1,0,No,0,1956,10,,696,20015
15,Sold,DC6099655DC6099655,3137 Patterson St Nw,"$625,000","$600,000",13-Nov-2006,4,2,1,3,1,Yes,0.094,1951,112,"$4,890","1,719",20015
16,Sold,DC6176601DC6176601,3412 Rittenhouse St Nw,"$995,000","$955,000",15-Nov-2006,6,3,0,4,1,Yes,0.072,1936,28,"$5,688","2,308",20015
17,Sold,DC6180728DC6180728,5409 41st St Nw,"$759,000","$759,000",15-Nov-2006,3,3,1,3,2,Yes,0.087,1939,8,"$5,478","1,566",20015
18,Sold,DC6152861DC6152861,5900 31st Pl Nw,"$789,000","$759,000",16-Nov-2006,4,2,1,3,1,Yes,0.127,1951,51,"$5,465","1,719",20015
19,Sold,DC6154176DC6154176,3936 McKinley St Nw,"$930,000","$885,000",20-Nov-2006,5,3,1,4,2,Yes,0.135,1939,65,"$7,414","2,008",20015
20,Sold,DC6210809DC6210809,2911 Stephenson Pl Nw,"$799,900","$810,000",20-Nov-2006,4,1,1,4,1,Yes,0.138,1936,33,"$6,261","1,818",20015
21,Sold,DC6206086DC6206086,3505 Rittenhouse St Nw,"$1,150,000","$1,060,000",22-Nov-2006,4,4,1,4,1,Yes,0.122,1924,40,"$6,104","2,248",20015
22,Sold,DC6215523DC6215523,4109 Jenifer St Nw,"$885,000","$911,000",27-Nov-2006,3,3,0,3,1,Yes,0.099,1937,5,"$6,188","1,616",20015
23,Sold,DC6138154DC6138154,5810 Chevy Chase Pkwy Nw,"$850,000","$850,000",30-Nov-2006,3,3,1,3,1,Yes,0.079,1912,43,,,20015
24,Sold,DC6179433DC6179433,6943 33rd St Nw,"$779,000","$770,000",30-Nov-2006,4,2,1,3,2,Yes,0.236,1951,9,"$5,338","1,422",20015
25,Sold,DC6218140DC6218140,6311 33rd St Nw,"$979,000","$950,000",30-Nov-2006,3,2,1,2,1,Yes,0.16,1933,13,"$7,049","1,740",20015
26,Sold,DC6221657DC6221657,5311 Connecticut Ave NW #2,"$299,000","$284,000",30-Nov-2006,1,1,0,1,1,No,0,1912,8,"$1,918",490,20015
27,Sold,DC6129651DC6129651,2628 Moreland Pl Nw,"$599,000","$615,000",04-Dec-2006,3,2,1,2,2,Yes,0.123,1957,99,"$5,393","1,300",20015
28,Sold,DC6203273DC6203273,3424 Livingston St Nw,"$798,000","$798,000",08-Dec-2006,3,2,1,3,2,Yes,0.157,1941,6,"$5,932","1,344",20015
29,Sold,DC6181326DC6181326,3809 Military Rd Nw,"$769,000","$745,000",09-Dec-2006,4,3,0,3,1,Yes,0.103,1918,72,"$4,939","1,469",20015
30,Sold,DC6217526DC6217526,3824 Harrison St Nw,"$1,095,000","$1,000,000",11-Dec-2006,4,4,0,3,1,Yes,0.176,1925,28,"$10,566","2,788",20015
31,Sold,DC6236182DC6236182,3931 Jenifer St Nw,"$799,900","$792,000",12-Dec-2006,3,2,1,3,1,Yes,0.115,1922,12,"$5,172","2,638",20015
32,Sold,DC6181538DC6181538,3290 Arcadia Pl Nw,"$1,195,000","$1,100,000",15-Dec-2006,4,4,0,3,1,Yes,0.429,1938,54,"$9,252","2,371",20015
33,Sold,DC6193433DC6193433,3914 Ingomar St Nw,"$699,000","$680,000",18-Dec-2006,4,3,0,3,1,Yes,0.087,1952,59,"$7,769","2,394",20015
34,Sold,DC6209661DC6209661,5800 Broad Branch Rd Nw,"$734,900","$715,000",18-Dec-2006,4,3,0,3,0,Yes,0.139,1923,79,"$5,257","1,684",20015
35,Sold,DC6188036DC6188036,7070 Oregon Ave Nw,"$1,975,000","$1,895,000",19-Dec-2006,6,5,1,4,2,Yes,0.231,2006,173,"$10,453",,20015
36,Sold,DC6217627DC6217627,6307 Utah Ave Nw,"$749,000","$725,000",20-Dec-2006,4,2,1,4,2,Yes,0.138,1937,37,"$6,179","1,620",20015
37,Sold,DC6258019DC6258019,6148 31st St Nw,"$830,000","$820,000",29-Dec-2006,4,3,0,3,1,Yes,0.126,1927,9,"$5,932","1,548",20015
38,Sold,DC6196401DC6196401,3211 Oliver St Nw,"$699,000","$688,000",04-Jan-2007,3,3,1,2,0,Yes,0.083,1921,17,"$4,938","1,428",20015
39,Sold,DC6199156DC6199156,3011 Oregon Knolls Dr Nw,"$950,000","$925,000",05-Jan-2007,5,4,1,4,3,Yes,0.232,1984,59,"$9,690","3,163",20015
40,Sold,DC6258963DC6258963,5401 Nevada Ave Nw,"$759,000","$745,000",08-Jan-2007,4,3,1,3,1,Yes,0.078,1934,71,"$6,064","1,768",20015
41,Sold,DC6194649DC6194649,5820 Broad Branch Rd Nw,"$725,000","$732,000",10-Jan-2007,3,3,0,3,1,Yes,0.096,1925,54,"$5,296","1,637",20015
42,Sold,DC6251211DC6251211,6614 31st St Nw,"$869,000","$894,000",12-Jan-2007,4,3,1,4,2,Yes,0.135,1939,9,"$6,230","1,882",20015
43,Sold,DC6184689DC6184689,5631 Western Ave Nw,"$1,730,000","$1,580,000",16-Jan-2007,8,4,1,4,2,Yes,0.246,1922,94,"$12,787","4,758",20015
44,Sold,DC6226232DC6226232,3004 Legation St Nw,"$659,000","$639,000",16-Jan-2007,3,2,1,3,1,Yes,0.067,1956,58,"$4,939","1,344",20015
45,Sold,DC6246219DC6246219,5502 Nebraska Avenue N,"$795,000","$785,000",20-Jan-2007,5,2,2,4,1,Yes,0.115,1933,14,,,20015
46,Sold,DC6289466DC6289466,3133 Patterson St Nw,"$600,000","$590,000",26-Jan-2007,2,2,0,4,1,Yes,0.094,1951,0,"$5,746","1,719",20015
47,Sold,DC6144373DC6144373,3357 Rittenhouse St Nw,"$1,099,000","$1,050,000",30-Jan-2007,4,3,1,4,1,Yes,0.113,1936,122,"$7,802","1,905",20015
48,Sold,DC6211000DC6211000,5410 Connecticut Ave NW #302,"$329,000","$327,000",30-Jan-2007,1,1,0,1,0,No,0,1957,91,"$2,398",905,20015
49,Sold,DC6234724DC6234724,6304 31st Pl Nw,"$1,795,000","$1,800,000",31-Jan-2007,6,4,1,3,3,Yes,0.202,1994,7,"$11,470","3,200",20015
50,Sold,DC6253318DC6253318,3723 Harrison St Nw,"$1,495,000","$1,395,000",01-Feb-2007,4,3,1,4,1,Yes,0.237,1923,110,"$9,476","3,578",20015
51,Sold,DC6220038DC6220038,3122 Birch St Nw,"$835,000","$787,500",06-Feb-2007,4,3,0,2,2,No,0.245,1953,44,"$6,269","1,794",20015
52,Sold,DC6243273DC6243273,5410 Connecticut Ave NW #914,"$329,000","$307,500",15-Feb-2007,1,1,0,1,0,No,0,1957,66,"$2,262",,20015
53,Sold,DC6156746DC6156746,6327 Western Ave Nw,"$889,000","$848,500",20-Feb-2007,4,3,0,4,1,Yes,0.165,1931,226,"$6,612","2,309",20015
54,Sold,DC6233146DC6233146,2700 Newlands St Nw,"$699,000","$655,000",20-Feb-2007,3,2,1,2,1,Yes,0.182,1951,31,"$5,343","1,410",20015
55,Sold,DC6303853DC6303853,3369 Stuyvesant Pl Nw,"$875,000","$930,000",20-Feb-2007,3,3,1,3,1,Yes,0.123,1926,6,"$7,079","1,904",20015
56,Sold,DC6299719DC6299719,6140 Utah Ave Nw,"$775,000","$775,000",21-Feb-2007,3,2,1,4,1,Yes,0.071,1936,90,"$4,977","1,318",20015
57,Sold,DC6297804DC6297804,5410 Connecticut Ave NW #218,"$365,000","$365,000",23-Feb-2007,2,1,0,1,0,No,0,1957,3,"$2,467",957,20015
58,Sold,DC6248302DC6248302,2914 Tennyson St Nw,"$799,500","$783,900",26-Feb-2007,4,3,1,3,1,Yes,0.1,1936,75,"$6,916","1,749",20015
59,Sold,DC6297097DC6297097,3012 Tennyson St Nw,"$748,500","$748,500",26-Feb-2007,4,3,0,3,2,Yes,0.119,1940,106,"$5,710","1,785",20015
60,Sold,DC6253305DC6253305,5506 Nebraska Ave Nw,"$849,000","$837,000",28-Feb-2007,3,2,1,4,1,Yes,0.115,1926,59,"$6,788","2,150",20015
61,Sold,DC6303473DC6303473,3227 Beech St Nw,"$819,900","$830,000",28-Feb-2007,3,3,1,3,1,Yes,0.215,1948,99,,"2,232",20015
62,Sold,DC6203350DC6203350,2950 Legation St Nw,"$689,000","$675,000",02-Mar-2007,4,2,0,3,1,Yes,0.085,1939,139,"$5,126","1,334",20015
63,Sold,DC6303208DC6303208,6130 Utah Ave Nw,"$699,000","$725,000",05-Mar-2007,3,2,1,3,1,Yes,0.107,1932,6,"$5,054","1,200",20015
64,Sold,DC6231022DC6231022,5406 Connecticut Ave NW #802,"$230,000","$250,000",09-Mar-2007,0,1,0,1,0,No,0,1963,172,$0,504,20015
65,Sold,DC6283963DC6283963,6242 29th St Nw,"$820,000","$885,000",14-Mar-2007,3,2,1,4,1,Yes,0.207,1940,4,"$6,240","1,786",20015
66,Sold,DC6290875DC6290875,3722 Jenifer St Nw,"$899,000","$981,000",20-Mar-2007,3,4,1,4,3,No,0.046,1976,3,"$8,049","2,620",20015
67,Sold,DC6299787DC6299787,6327 31st Pl Nw,"$675,000","$675,000",20-Mar-2007,4,2,1,3,1,Yes,0.101,1935,16,"$5,653","1,638",20015
68,Sold,DC6310606DC6310606,3708 Harrison St Nw,"$939,000","$939,000",20-Mar-2007,4,3,1,4,2,Yes,0.122,1932,4,"$7,336","1,768",20015
69,Sold,DC6262608DC6262608,5308 Nevada Ave Nw,"$650,000","$615,000",21-Mar-2007,3,2,1,3,0,Yes,0.098,1952,124,,"1,188",20015
70,Sold,DC6297885DC6297885,3114 Tennyson St Nw,"$775,000","$750,000",22-Mar-2007,4,3,0,4,1,Yes,0.09,1935,35,"$6,059","1,685",20015
71,Sold,DC6308825DC6308825,3032 Oliver St Nw,"$799,000","$815,300",26-Mar-2007,4,2,1,4,1,Yes,0.149,1950,5,"$5,688","1,851",20015
72,Sold,DC6297813DC6297813,6155 31st Pl Nw,"$1,199,500","$1,261,816",28-Mar-2007,5,3,1,3,1,Yes,0.202,1928,7,"$8,022","2,060",20015
73,Sold,DC6309738DC6309738,6416 Barnaby St Nw,"$887,000","$887,000",28-Mar-2007,4,2,1,4,2,Yes,0.106,1935,5,"$3,568","1,804",20015
74,Sold,DC6321364DC6321364,5402 Connecticut Ave NW #206,"$459,000","$462,000",29-Mar-2007,2,2,0,2,0,No,0,1928,7,"$2,044",569,20015
75,Sold,DC6289712DC6289712,6025 Western Ave Nw,"$1,385,000","$1,385,000",30-Mar-2007,6,4,2,4,2,Yes,0.171,1923,6,"$8,771","3,128",20015
76,Sold,DC6289924DC6289924,4112 Military Rd Nw,"$839,000","$800,000",30-Mar-2007,3,3,0,2,1,No,0.046,1918,35,"$4,939","1,918",20015
77,Sold,DC6293246DC6293246,5918 Broad Branch Rd Nw,"$875,000","$880,000",30-Mar-2007,4,2,2,4,1,Yes,0.138,1925,9,"$6,205","1,914",20015
78,Sold,DC6310691DC6310691,5325 38th St Nw,"$899,000","$915,000",30-Mar-2007,4,2,0,4,1,Yes,0.125,1925,6,"$6,911","2,695",20015
79,Sold,DC6320835DC6320835,3292 Aberfoyle Pl Nw,"$799,900","$800,000",30-Mar-2007,4,3,1,3,1,Yes,0.075,1949,7,"$6,103","1,596",20015
80,Sold,DC6257806DC6257806,4301 Military Rd NW #201,"$1,595,000","$1,595,000",01-Apr-2007,2,2,1,1,0,No,0,2006,61,,,20015
81,Sold,DC6229126DC6229126,4301 Military Rd NW #Ph10,"$2,995,000","$2,850,000",02-Apr-2007,3,3,1,2,0,No,0,2006,27,,,20015
82,Sold,DC6284227DC6284227,6916 33rd St Nw,"$824,328","$854,328",05-Apr-2007,4,2,2,4,2,Yes,0.165,1942,26,"$5,448","1,835",20015
83,Sold,DC6334911DC6334911,2 Pinehurst Cir Nw,"$1,750,000","$1,850,000",09-Apr-2007,6,4,1,4,3,Yes,0.198,1932,1,"$8,438","3,502",20015
84,Sold,DC6349547DC6349547,3119 Quesada St Nw,"$769,000","$806,500",09-Apr-2007,3,2,2,3,1,Yes,0.086,1956,4,"$6,454","1,479",20015
85,Sold,DC6427857DC6427857,3923 Morrison St Nw,"$942,950","$942,950",09-Apr-2007,5,3,0,3,1,Yes,0.09,1916,0,"$5,589","2,116",20015
86,Sold,DC6320569DC6320569,6647 Western Ave Nw,"$975,000","$975,000",10-Apr-2007,3,2,2,4,2,Yes,0.241,1939,4,,,20015
87,Sold,DC6310103DC6310103,3354 Stuyvesant Pl Nw,"$1,199,500","$1,200,000",11-Apr-2007,4,2,2,4,1,Yes,0.136,1942,3,"$8,106","2,864",20015
88,Sold,DC6320360DC6320360,2815 Rittenhouse St Nw,"$715,000","$715,000",11-Apr-2007,3,2,0,3,2,Yes,0.132,1938,7,"$6,273","1,400",20015
89,Sold,DC6342288DC6342288,5414 30th St Nw,"$769,000","$769,000",18-Apr-2007,3,3,0,3,1,Yes,0,1939,18,"$6,658","1,730",20015
90,Sold,DC6297109DC6297109,3213 Military Rd Nw,"$920,000","$920,000",23-Apr-2007,3,2,1,3,2,Yes,0.115,1937,10,"$5,184","2,118",20015
91,Sold,DC6326235DC6326235,5229 Connecticut Ave NW #809,"$575,000","$580,000",27-Apr-2007,3,2,1,3,1,No,0,1989,2,"$3,550","1,251",20015
92,Sold,DC6348441DC6348441,6621 31st St Nw,"$819,000","$819,000",27-Apr-2007,3,3,1,3,2,Yes,0.166,1938,6,"$7,171","1,558",20015
