,Stat,ML#,Address,List Price,Close Price,Close Date,Bedrooms,Baths Full,Baths Half,Levels,Fireplaces,Basement Y/N,Acres,Year Built,DOMP,Total Taxes,Tax Total Living Area,Zip
0,Sold,DC5496917DC5496917,2315 Altamont Pl SE #202,"$127,900","$120,000",02-Oct-2006,2,1,0.0,1,0,No,0.0,1940,205,$363,865,20020
1,Sold,DC6040989DC6040989,1363 Morris Rd Se,"$259,900","$250,000",06-Oct-2006,3,3,0.0,2,0,Yes,0.053,1953,101,,,20020
2,Sold,DC6142539DC6142539,2006 Tremont St Se,"$325,000","$320,000",06-Oct-2006,3,2,1.0,3,0,No,0.046,2001,17,$0,"1,220",20020
3,Sold,DC6212258DC6212258,1628 27 St Se,"$299,900","$299,900",08-Oct-2006,4,2,1.0,3,0,Yes,0.034,2006,0,,,20020
4,Sold,DC6146740DC6146740,1722 22nd St Se,"$278,000","$283,000",11-Oct-2006,3,1,0.0,3,0,Yes,0.055,1940,43,,"1,140",20020
5,Sold,DC6161747DC6161747,1907 Good Hope Rd SE #109,"$150,000","$159,000",11-Oct-2006,2,1,0.0,1,0,No,0.0,1965,29,$0,652,20020
6,Sold,DC6141301DC6141301,2131 Young St SE #38,"$230,000","$228,000",12-Oct-2006,2,1,0.0,2,1,No,0.0,1980,56,$589,889,20020
7,Sold,DC6178036DC6178036,1414 W St Se,"$265,000","$274,150",16-Oct-2006,3,1,0.0,3,1,Yes,0.11800000000000001,1905,35,"$1,479","1,448",20020
8,Sold,DC6221080DC6221080,1416 Morris Rd Se,"$319,000","$319,000",16-Oct-2006,3,2,0.0,2,0,No,0.066,1994,0,"$1,398","1,250",20020
9,Sold,DC6059193DC6059193,3433 Carpenter St Se,"$339,900","$315,000",23-Oct-2006,2,1,0.0,3,0,Yes,0.07400000000000001,1937,128,"$1,697",971,20020
10,Sold,DC6156447DC6156447,1907 Good Hope Rd SE #6,"$118,000","$118,000",24-Oct-2006,1,1,0.0,1,0,No,0.0,1965,15,$669,578,20020
11,Sold,DC5534491DC5534491,1501 27th St SE #104,"$169,900","$169,900",26-Oct-2006,1,1,,1,0,No,0.0,1941,40,,,20020
12,Sold,DC5519320DC5519320,3445 23 Rd St Se,"$270,000","$270,000",27-Oct-2006,3,2,,2,0,Yes,0.05,1947,180,"$1,032",950,20020
13,Sold,DC6200262DC6200262,2828 R St Se,"$399,000","$399,000",27-Oct-2006,3,3,1.0,3,0,Yes,0.073,2006,150,"$1,998","1,352",20020
