X,Y,OBJECTID,GIS_ID,NAME,WEB_URL,EXIT_TO_ST,FEATURECOD,DESCRIPTIO,CAPTUREYEA,LINE,ADDRESS_ID,ADDRESS
-77.169102329395272,38.766707753742729,1,mstn_055,FRANCONIA-SPRINGF'LD,http://www.wmata.com/rail/station_detail.cfm?station_id=95,SOUTH SIDE OF FRANCONIA-SPRINGFIELD PKWY,,Metro Station Entrance,2016-01-08T00:00:00.000Z,blue,,"6880 FRONTIER DRIVE, SPRINGFIELD, VA  22150"
-77.103300537503898,38.883025146973672,2,mstn_084,VIRGINIA SQUARE | GMU ELEVATOR,http://www.wmata.com/rail/station_detail.cfm?station_id=98,SOUTH SIDE OF N FAIRFAX DR BETWEEN N NELSON ST AND N MONROE ST ,,Metro Station Entrance,2016-01-08T00:00:00.000Z,"orange, silver",,"3600 FAIRFAX DRIVE, ARLINGTON, VA 22201"
-77.103602326510909,39.028907810500009,3,mstn_060,GROSVENOR-STRATHMORE,http://www.wmata.com/rail/station_detail.cfm?station_id=14,SE OF TUCKERMAN LN AND ROCKVILLE PIKE ,,Metro Station Entrance,2016-01-08T00:00:00.000Z,red,,"10300 ROCKVILLE PIKE, ROCKVILLE, MD 20852"
-77.104502327488802,39.028807808813788,4,mstn_060,GROSVENOR-STRATHMORE,http://www.wmata.com/rail/station_detail.cfm?station_id=14,SW OF TUCKERMAN LN AND ROCKVILLE PIKE ,,Metro Station Entrance,2016-01-08T00:00:00.000Z,red,,"10300 ROCKVILLE PIKE, ROCKVILLE, MD 20852"
-77.0433192930102,38.908682886128517,5,mstn_010,DUPONT CIRCLE,http://www.wmata.com/rail/station_detail.cfm?station_id=6,SE CORNER OF 19TH STREET NW AND DUPONT CIRCLE NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,red,294836,"1351 19TH ST NW, WASHINGTON, DC 20036"
-77.112101905543724,38.882061724854239,6,mstn_046,BALLSTON ELEVATOR,http://www.wmata.com/rail/station_detail.cfm?station_id=99,SW CORNER OF N FAIRFAX DR AND N STUART ST ,,Metro Station Entrance,2016-01-08T00:00:00.000Z,"orange, silver",,"4230 FAIRFAX DRIVE, ARLINGTON, VA 22201"
-77.095202314876474,38.887107781005206,7,mstn_047,CLARENDON,http://www.wmata.com/rail/station_detail.cfm?station_id=97,WEST SIDE OF N HIGHLAND ST BETWEEN WILSON BLVD AND CLARENDON BLVD,,Metro Station Entrance,2016-01-08T00:00:00.000Z,"orange, silver",,"3100 WILSON BOULEVARD, ARLINGTON, VA 22201"
-77.095707569686382,38.886737931355576,8,mstn_047,CLARENDON ELEVATOR,http://www.wmata.com/rail/station_detail.cfm?station_id=97,WEST SIDE OF N HIGHLAND ST BETWEEN WILSON BLVD AND CLARENDON BLVD,,Metro Station Entrance,2016-01-08T00:00:00.000Z,"orange, silver",,"3100 WILSON BOULEVARD, ARLINGTON, VA 22201"
-76.937536947591923,38.89056830918674,9,mstn_002,BENNING ROAD ELEVATOR,http://www.wmata.com/rail/station_detail.cfm?station_id=90,NE CORNER OF BENNING ROAD NE AND CENTRAL AVENUE NE,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,"blue, silver",294851,"4500 BENNING ROAD NE, WASHINGTON, DC 20019"
-77.086102307233801,38.890507783977242,10,mstn_049,COURT HOUSE ELEVATOR,http://www.wmata.com/rail/station_detail.cfm?station_id=96,SE CORNER OF CLARENDON BLVD AND 15TH ST N,,Metro Station Entrance,2016-01-08T00:00:00.000Z,"orange, silver",,"2100 WILSON BOULEVARD, ARLINGTON, VA 22201"
