RegionID,RegionName,City,County,State,Metro,SizeRank,Month,ListingsPriceCutSeasAdj
66133,20009,Washington,District of Columbia,DC,Washington,42,2010-09,14.02829
66133,20009,Washington,District of Columbia,DC,Washington,42,2010-10,12.0523
66133,20009,Washington,District of Columbia,DC,Washington,42,2010-11,13.98885
66133,20009,Washington,District of Columbia,DC,Washington,42,2010-12,15.18178
66133,20009,Washington,District of Columbia,DC,Washington,42,2011-01,13.25939
66133,20009,Washington,District of Columbia,DC,Washington,42,2011-02,11.0637
66133,20009,Washington,District of Columbia,DC,Washington,42,2011-03,17.58055
66133,20009,Washington,District of Columbia,DC,Washington,42,2011-04,18.18758
66133,20009,Washington,District of Columbia,DC,Washington,42,2011-05,20.24065
66133,20009,Washington,District of Columbia,DC,Washington,42,2011-06,15.96376
66133,20009,Washington,District of Columbia,DC,Washington,42,2011-07,14.73137
66133,20009,Washington,District of Columbia,DC,Washington,42,2011-08,16.60648
66133,20009,Washington,District of Columbia,DC,Washington,42,2011-09,12.10812
66133,20009,Washington,District of Columbia,DC,Washington,42,2011-10,14.79425
66133,20009,Washington,District of Columbia,DC,Washington,42,2011-11,12.9399
66133,20009,Washington,District of Columbia,DC,Washington,42,2011-12,11.79676
66133,20009,Washington,District of Columbia,DC,Washington,42,2012-01,10.22492
66133,20009,Washington,District of Columbia,DC,Washington,42,2012-02,11.85183
66133,20009,Washington,District of Columbia,DC,Washington,42,2012-03,9.494484
66133,20009,Washington,District of Columbia,DC,Washington,42,2012-04,7.16284
66133,20009,Washington,District of Columbia,DC,Washington,42,2012-05,9.409161
66133,20009,Washington,District of Columbia,DC,Washington,42,2012-06,10.55776
66133,20009,Washington,District of Columbia,DC,Washington,42,2012-07,12.83925
66133,20009,Washington,District of Columbia,DC,Washington,42,2012-08,12.23119
66133,20009,Washington,District of Columbia,DC,Washington,42,2012-09,14.29475
66133,20009,Washington,District of Columbia,DC,Washington,42,2012-10,9.307425
66133,20009,Washington,District of Columbia,DC,Washington,42,2012-11,12.68349
66133,20009,Washington,District of Columbia,DC,Washington,42,2012-12,13.16565
66133,20009,Washington,District of Columbia,DC,Washington,42,2013-01,13.40977
66133,20009,Washington,District of Columbia,DC,Washington,42,2013-02,11.23037
66133,20009,Washington,District of Columbia,DC,Washington,42,2013-03,12.99155
66133,20009,Washington,District of Columbia,DC,Washington,42,2013-04,8.56844
66133,20009,Washington,District of Columbia,DC,Washington,42,2013-05,9.353898
66133,20009,Washington,District of Columbia,DC,Washington,42,2013-06,9.501688
66133,20009,Washington,District of Columbia,DC,Washington,42,2013-07,14.94896
66133,20009,Washington,District of Columbia,DC,Washington,42,2013-08,12.99217
66133,20009,Washington,District of Columbia,DC,Washington,42,2013-09,12.65682
66133,20009,Washington,District of Columbia,DC,Washington,42,2013-10,13.65195
66133,20009,Washington,District of Columbia,DC,Washington,42,2013-11,13.66784
66133,20009,Washington,District of Columbia,DC,Washington,42,2013-12,10.47682
66133,20009,Washington,District of Columbia,DC,Washington,42,2014-01,14.10241
66133,20009,Washington,District of Columbia,DC,Washington,42,2014-02,13.35828
66133,20009,Washington,District of Columbia,DC,Washington,42,2014-03,11.11637
66133,20009,Washington,District of Columbia,DC,Washington,42,2014-04,14.95585
66133,20009,Washington,District of Columbia,DC,Washington,42,2014-05,12.05872
66133,20009,Washington,District of Columbia,DC,Washington,42,2014-06,13.22786
66133,20009,Washington,District of Columbia,DC,Washington,42,2014-07,14.76169
66133,20009,Washington,District of Columbia,DC,Washington,42,2014-08,15.00931
66133,20009,Washington,District of Columbia,DC,Washington,42,2014-09,14.2141
66133,20009,Washington,District of Columbia,DC,Washington,42,2014-10,17.33076
66133,20009,Washington,District of Columbia,DC,Washington,42,2014-11,10.34176
66133,20009,Washington,District of Columbia,DC,Washington,42,2014-12,14.7298
66133,20009,Washington,District of Columbia,DC,Washington,42,2015-01,15.51061
66133,20009,Washington,District of Columbia,DC,Washington,42,2015-02,13.14341
66133,20009,Washington,District of Columbia,DC,Washington,42,2015-03,13.31054
66133,20009,Washington,District of Columbia,DC,Washington,42,2015-04,12.10535
66133,20009,Washington,District of Columbia,DC,Washington,42,2015-05,12.08525
66133,20009,Washington,District of Columbia,DC,Washington,42,2015-06,9.100387
66133,20009,Washington,District of Columbia,DC,Washington,42,2015-07,11.42331
66133,20009,Washington,District of Columbia,DC,Washington,42,2015-08,13.85484
66133,20009,Washington,District of Columbia,DC,Washington,42,2015-09,11.87753
66133,20009,Washington,District of Columbia,DC,Washington,42,2015-10,11.48412
66133,20009,Washington,District of Columbia,DC,Washington,42,2015-11,14.44017
66133,20009,Washington,District of Columbia,DC,Washington,42,2015-12,12.185
66133,20009,Washington,District of Columbia,DC,Washington,42,2016-01,12.11944
66133,20009,Washington,District of Columbia,DC,Washington,42,2016-02,16.64972
66133,20009,Washington,District of Columbia,DC,Washington,42,2016-03,11.89025
66133,20009,Washington,District of Columbia,DC,Washington,42,2016-04,12.37545
66133,20009,Washington,District of Columbia,DC,Washington,42,2016-05,10.51403
66133,20009,Washington,District of Columbia,DC,Washington,42,2016-06,13.67777
66133,20009,Washington,District of Columbia,DC,Washington,42,2016-07,11.98092
66133,20009,Washington,District of Columbia,DC,Washington,42,2016-08,9.935404
66126,20002,Washington,District of Columbia,DC,Washington,50,2010-09,14.35932
66126,20002,Washington,District of Columbia,DC,Washington,50,2010-10,13.81141
66126,20002,Washington,District of Columbia,DC,Washington,50,2010-11,14.02438
66126,20002,Washington,District of Columbia,DC,Washington,50,2010-12,15.12111
66126,20002,Washington,District of Columbia,DC,Washington,50,2011-01,13.03026
66126,20002,Washington,District of Columbia,DC,Washington,50,2011-02,11.97888
66126,20002,Washington,District of Columbia,DC,Washington,50,2011-03,14.13806
66126,20002,Washington,District of Columbia,DC,Washington,50,2011-04,11.75512
66126,20002,Washington,District of Columbia,DC,Washington,50,2011-05,10.82795
66126,20002,Washington,District of Columbia,DC,Washington,50,2011-06,13.0092
66126,20002,Washington,District of Columbia,DC,Washington,50,2011-07,13.4515
66126,20002,Washington,District of Columbia,DC,Washington,50,2011-08,12.63886
66126,20002,Washington,District of Columbia,DC,Washington,50,2011-09,10.51468
66126,20002,Washington,District of Columbia,DC,Washington,50,2011-10,9.586128
66126,20002,Washington,District of Columbia,DC,Washington,50,2011-11,12.38492
66126,20002,Washington,District of Columbia,DC,Washington,50,2011-12,8.792537
66126,20002,Washington,District of Columbia,DC,Washington,50,2012-01,9.157188
66126,20002,Washington,District of Columbia,DC,Washington,50,2012-02,10.9623
66126,20002,Washington,District of Columbia,DC,Washington,50,2012-03,11.2554
66126,20002,Washington,District of Columbia,DC,Washington,50,2012-04,12.18304
66126,20002,Washington,District of Columbia,DC,Washington,50,2012-05,11.77317
66126,20002,Washington,District of Columbia,DC,Washington,50,2012-06,11.50898
66126,20002,Washington,District of Columbia,DC,Washington,50,2012-07,11.13446
66126,20002,Washington,District of Columbia,DC,Washington,50,2012-08,10.02243
