RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,MedianValuePerSqft
66133,20009,Washington,DC,Washington,District of Columbia,33,1996-04,
66133,20009,Washington,DC,Washington,District of Columbia,33,1996-05,
66133,20009,Washington,DC,Washington,District of Columbia,33,1996-06,
66133,20009,Washington,DC,Washington,District of Columbia,33,1996-07,
66133,20009,Washington,DC,Washington,District of Columbia,33,1996-08,
66133,20009,Washington,DC,Washington,District of Columbia,33,1996-09,
66133,20009,Washington,DC,Washington,District of Columbia,33,1996-10,
66133,20009,Washington,DC,Washington,District of Columbia,33,1996-11,
66133,20009,Washington,DC,Washington,District of Columbia,33,1996-12,
66133,20009,Washington,DC,Washington,District of Columbia,33,1997-01,
66133,20009,Washington,DC,Washington,District of Columbia,33,1997-02,
66133,20009,Washington,DC,Washington,District of Columbia,33,1997-03,
66133,20009,Washington,DC,Washington,District of Columbia,33,1997-04,
66133,20009,Washington,DC,Washington,District of Columbia,33,1997-05,
66133,20009,Washington,DC,Washington,District of Columbia,33,1997-06,
66133,20009,Washington,DC,Washington,District of Columbia,33,1997-07,
66133,20009,Washington,DC,Washington,District of Columbia,33,1997-08,
66133,20009,Washington,DC,Washington,District of Columbia,33,1997-09,
66133,20009,Washington,DC,Washington,District of Columbia,33,1997-10,
66133,20009,Washington,DC,Washington,District of Columbia,33,1997-11,
66133,20009,Washington,DC,Washington,District of Columbia,33,1997-12,
66133,20009,Washington,DC,Washington,District of Columbia,33,1998-01,
66133,20009,Washington,DC,Washington,District of Columbia,33,1998-02,
66133,20009,Washington,DC,Washington,District of Columbia,33,1998-03,
66133,20009,Washington,DC,Washington,District of Columbia,33,1998-04,
66133,20009,Washington,DC,Washington,District of Columbia,33,1998-05,
66133,20009,Washington,DC,Washington,District of Columbia,33,1998-06,
66133,20009,Washington,DC,Washington,District of Columbia,33,1998-07,
66133,20009,Washington,DC,Washington,District of Columbia,33,1998-08,
66133,20009,Washington,DC,Washington,District of Columbia,33,1998-09,
66133,20009,Washington,DC,Washington,District of Columbia,33,1998-10,
66133,20009,Washington,DC,Washington,District of Columbia,33,1998-11,
66133,20009,Washington,DC,Washington,District of Columbia,33,1998-12,
66133,20009,Washington,DC,Washington,District of Columbia,33,1999-01,
66133,20009,Washington,DC,Washington,District of Columbia,33,1999-02,
66133,20009,Washington,DC,Washington,District of Columbia,33,1999-03,
66133,20009,Washington,DC,Washington,District of Columbia,33,1999-04,
66133,20009,Washington,DC,Washington,District of Columbia,33,1999-05,
66133,20009,Washington,DC,Washington,District of Columbia,33,1999-06,172
66133,20009,Washington,DC,Washington,District of Columbia,33,1999-07,173
66133,20009,Washington,DC,Washington,District of Columbia,33,1999-08,174
66133,20009,Washington,DC,Washington,District of Columbia,33,1999-09,175
66133,20009,Washington,DC,Washington,District of Columbia,33,1999-10,176
66133,20009,Washington,DC,Washington,District of Columbia,33,1999-11,179
66133,20009,Washington,DC,Washington,District of Columbia,33,1999-12,182
66133,20009,Washington,DC,Washington,District of Columbia,33,2000-01,187
66133,20009,Washington,DC,Washington,District of Columbia,33,2000-02,192
66133,20009,Washington,DC,Washington,District of Columbia,33,2000-03,197
66133,20009,Washington,DC,Washington,District of Columbia,33,2000-04,202
66133,20009,Washington,DC,Washington,District of Columbia,33,2000-05,208
66133,20009,Washington,DC,Washington,District of Columbia,33,2000-06,214
66133,20009,Washington,DC,Washington,District of Columbia,33,2000-07,218
66133,20009,Washington,DC,Washington,District of Columbia,33,2000-08,221
66133,20009,Washington,DC,Washington,District of Columbia,33,2000-09,223
66133,20009,Washington,DC,Washington,District of Columbia,33,2000-10,224
66133,20009,Washington,DC,Washington,District of Columbia,33,2000-11,224
66133,20009,Washington,DC,Washington,District of Columbia,33,2000-12,226
66133,20009,Washington,DC,Washington,District of Columbia,33,2001-01,229
66133,20009,Washington,DC,Washington,District of Columbia,33,2001-02,231
66133,20009,Washington,DC,Washington,District of Columbia,33,2001-03,232
66133,20009,Washington,DC,Washington,District of Columbia,33,2001-04,235
66133,20009,Washington,DC,Washington,District of Columbia,33,2001-05,241
66133,20009,Washington,DC,Washington,District of Columbia,33,2001-06,247
66133,20009,Washington,DC,Washington,District of Columbia,33,2001-07,252
66133,20009,Washington,DC,Washington,District of Columbia,33,2001-08,258
66133,20009,Washington,DC,Washington,District of Columbia,33,2001-09,263
66133,20009,Washington,DC,Washington,District of Columbia,33,2001-10,268
66133,20009,Washington,DC,Washington,District of Columbia,33,2001-11,273
66133,20009,Washington,DC,Washington,District of Columbia,33,2001-12,278
66133,20009,Washington,DC,Washington,District of Columbia,33,2002-01,284
66133,20009,Washington,DC,Washington,District of Columbia,33,2002-02,290
66133,20009,Washington,DC,Washington,District of Columbia,33,2002-03,297
66133,20009,Washington,DC,Washington,District of Columbia,33,2002-04,304
66133,20009,Washington,DC,Washington,District of Columbia,33,2002-05,314
66133,20009,Washington,DC,Washington,District of Columbia,33,2002-06,323
66133,20009,Washington,DC,Washington,District of Columbia,33,2002-07,329
66133,20009,Washington,DC,Washington,District of Columbia,33,2002-08,334
66133,20009,Washington,DC,Washington,District of Columbia,33,2002-09,338
66133,20009,Washington,DC,Washington,District of Columbia,33,2002-10,343
66133,20009,Washington,DC,Washington,District of Columbia,33,2002-11,349
66133,20009,Washington,DC,Washington,District of Columbia,33,2002-12,355
66133,20009,Washington,DC,Washington,District of Columbia,33,2003-01,359
66133,20009,Washington,DC,Washington,District of Columbia,33,2003-02,363
66133,20009,Washington,DC,Washington,District of Columbia,33,2003-03,368
66133,20009,Washington,DC,Washington,District of Columbia,33,2003-04,370
66133,20009,Washington,DC,Washington,District of Columbia,33,2003-05,372
66133,20009,Washington,DC,Washington,District of Columbia,33,2003-06,375
66133,20009,Washington,DC,Washington,District of Columbia,33,2003-07,378
66133,20009,Washington,DC,Washington,District of Columbia,33,2003-08,381
66133,20009,Washington,DC,Washington,District of Columbia,33,2003-09,387
66133,20009,Washington,DC,Washington,District of Columbia,33,2003-10,392
66133,20009,Washington,DC,Washington,District of Columbia,33,2003-11,398
66133,20009,Washington,DC,Washington,District of Columbia,33,2003-12,403
66133,20009,Washington,DC,Washington,District of Columbia,33,2004-01,410
66133,20009,Washington,DC,Washington,District of Columbia,33,2004-02,418
66133,20009,Washington,DC,Washington,District of Columbia,33,2004-03,425
66133,20009,Washington,DC,Washington,District of Columbia,33,2004-04,431
66133,20009,Washington,DC,Washington,District of Columbia,33,2004-05,438
66133,20009,Washington,DC,Washington,District of Columbia,33,2004-06,448
66133,20009,Washington,DC,Washington,District of Columbia,33,2004-07,457
66133,20009,Washington,DC,Washington,District of Columbia,33,2004-08,466
66133,20009,Washington,DC,Washington,District of Columbia,33,2004-09,476
66133,20009,Washington,DC,Washington,District of Columbia,33,2004-10,486
66133,20009,Washington,DC,Washington,District of Columbia,33,2004-11,492
66133,20009,Washington,DC,Washington,District of Columbia,33,2004-12,497
66133,20009,Washington,DC,Washington,District of Columbia,33,2005-01,501
66133,20009,Washington,DC,Washington,District of Columbia,33,2005-02,504
66133,20009,Washington,DC,Washington,District of Columbia,33,2005-03,507
66133,20009,Washington,DC,Washington,District of Columbia,33,2005-04,511
66133,20009,Washington,DC,Washington,District of Columbia,33,2005-05,513
66133,20009,Washington,DC,Washington,District of Columbia,33,2005-06,515
66133,20009,Washington,DC,Washington,District of Columbia,33,2005-07,519
66133,20009,Washington,DC,Washington,District of Columbia,33,2005-08,522
66133,20009,Washington,DC,Washington,District of Columbia,33,2005-09,522
66133,20009,Washington,DC,Washington,District of Columbia,33,2005-10,523
66133,20009,Washington,DC,Washington,District of Columbia,33,2005-11,527
66133,20009,Washington,DC,Washington,District of Columbia,33,2005-12,530
66133,20009,Washington,DC,Washington,District of Columbia,33,2006-01,532
66133,20009,Washington,DC,Washington,District of Columbia,33,2006-02,532
66133,20009,Washington,DC,Washington,District of Columbia,33,2006-03,532
66133,20009,Washington,DC,Washington,District of Columbia,33,2006-04,531
66133,20009,Washington,DC,Washington,District of Columbia,33,2006-05,530
66133,20009,Washington,DC,Washington,District of Columbia,33,2006-06,528
66133,20009,Washington,DC,Washington,District of Columbia,33,2006-07,526
66133,20009,Washington,DC,Washington,District of Columbia,33,2006-08,523
66133,20009,Washington,DC,Washington,District of Columbia,33,2006-09,521
66133,20009,Washington,DC,Washington,District of Columbia,33,2006-10,519
66133,20009,Washington,DC,Washington,District of Columbia,33,2006-11,517
66133,20009,Washington,DC,Washington,District of Columbia,33,2006-12,515
66133,20009,Washington,DC,Washington,District of Columbia,33,2007-01,515
66133,20009,Washington,DC,Washington,District of Columbia,33,2007-02,516
66133,20009,Washington,DC,Washington,District of Columbia,33,2007-03,517
66133,20009,Washington,DC,Washington,District of Columbia,33,2007-04,518
66133,20009,Washington,DC,Washington,District of Columbia,33,2007-05,519
66133,20009,Washington,DC,Washington,District of Columbia,33,2007-06,520
66133,20009,Washington,DC,Washington,District of Columbia,33,2007-07,520
66133,20009,Washington,DC,Washington,District of Columbia,33,2007-08,522
66133,20009,Washington,DC,Washington,District of Columbia,33,2007-09,524
66133,20009,Washington,DC,Washington,District of Columbia,33,2007-10,526
66133,20009,Washington,DC,Washington,District of Columbia,33,2007-11,526
66133,20009,Washington,DC,Washington,District of Columbia,33,2007-12,525
66133,20009,Washington,DC,Washington,District of Columbia,33,2008-01,524
66133,20009,Washington,DC,Washington,District of Columbia,33,2008-02,523
66133,20009,Washington,DC,Washington,District of Columbia,33,2008-03,522
66133,20009,Washington,DC,Washington,District of Columbia,33,2008-04,520
66133,20009,Washington,DC,Washington,District of Columbia,33,2008-05,518
66133,20009,Washington,DC,Washington,District of Columbia,33,2008-06,516
66133,20009,Washington,DC,Washington,District of Columbia,33,2008-07,513
66133,20009,Washington,DC,Washington,District of Columbia,33,2008-08,510
66133,20009,Washington,DC,Washington,District of Columbia,33,2008-09,508
66133,20009,Washington,DC,Washington,District of Columbia,33,2008-10,507
66133,20009,Washington,DC,Washington,District of Columbia,33,2008-11,505
66133,20009,Washington,DC,Washington,District of Columbia,33,2008-12,502
66133,20009,Washington,DC,Washington,District of Columbia,33,2009-01,498
66133,20009,Washington,DC,Washington,District of Columbia,33,2009-02,496
66133,20009,Washington,DC,Washington,District of Columbia,33,2009-03,495
66133,20009,Washington,DC,Washington,District of Columbia,33,2009-04,492
66133,20009,Washington,DC,Washington,District of Columbia,33,2009-05,490
66133,20009,Washington,DC,Washington,District of Columbia,33,2009-06,490
66133,20009,Washington,DC,Washington,District of Columbia,33,2009-07,490
66133,20009,Washington,DC,Washington,District of Columbia,33,2009-08,491
66133,20009,Washington,DC,Washington,District of Columbia,33,2009-09,491
66133,20009,Washington,DC,Washington,District of Columbia,33,2009-10,492
66133,20009,Washington,DC,Washington,District of Columbia,33,2009-11,492
66133,20009,Washington,DC,Washington,District of Columbia,33,2009-12,494
66133,20009,Washington,DC,Washington,District of Columbia,33,2010-01,497
66133,20009,Washington,DC,Washington,District of Columbia,33,2010-02,499
66133,20009,Washington,DC,Washington,District of Columbia,33,2010-03,503
66133,20009,Washington,DC,Washington,District of Columbia,33,2010-04,508
66133,20009,Washington,DC,Washington,District of Columbia,33,2010-05,511
66133,20009,Washington,DC,Washington,District of Columbia,33,2010-06,510
66133,20009,Washington,DC,Washington,District of Columbia,33,2010-07,510
66133,20009,Washington,DC,Washington,District of Columbia,33,2010-08,510
66133,20009,Washington,DC,Washington,District of Columbia,33,2010-09,509
66133,20009,Washington,DC,Washington,District of Columbia,33,2010-10,506
66133,20009,Washington,DC,Washington,District of Columbia,33,2010-11,507
66133,20009,Washington,DC,Washington,District of Columbia,33,2010-12,510
66133,20009,Washington,DC,Washington,District of Columbia,33,2011-01,508
66133,20009,Washington,DC,Washington,District of Columbia,33,2011-02,503
66133,20009,Washington,DC,Washington,District of Columbia,33,2011-03,503
66133,20009,Washington,DC,Washington,District of Columbia,33,2011-04,505
66133,20009,Washington,DC,Washington,District of Columbia,33,2011-05,506
66133,20009,Washington,DC,Washington,District of Columbia,33,2011-06,507
66133,20009,Washington,DC,Washington,District of Columbia,33,2011-07,508
66133,20009,Washington,DC,Washington,District of Columbia,33,2011-08,507
66133,20009,Washington,DC,Washington,District of Columbia,33,2011-09,506
66133,20009,Washington,DC,Washington,District of Columbia,33,2011-10,506
66133,20009,Washington,DC,Washington,District of Columbia,33,2011-11,507
66133,20009,Washington,DC,Washington,District of Columbia,33,2011-12,508
66133,20009,Washington,DC,Washington,District of Columbia,33,2012-01,511
66133,20009,Washington,DC,Washington,District of Columbia,33,2012-02,513
66133,20009,Washington,DC,Washington,District of Columbia,33,2012-03,513
66133,20009,Washington,DC,Washington,District of Columbia,33,2012-04,515
66133,20009,Washington,DC,Washington,District of Columbia,33,2012-05,516
66133,20009,Washington,DC,Washington,District of Columbia,33,2012-06,517
66133,20009,Washington,DC,Washington,District of Columbia,33,2012-07,519
66133,20009,Washington,DC,Washington,District of Columbia,33,2012-08,521
66133,20009,Washington,DC,Washington,District of Columbia,33,2012-09,522
66133,20009,Washington,DC,Washington,District of Columbia,33,2012-10,523
66133,20009,Washington,DC,Washington,District of Columbia,33,2012-11,525
66133,20009,Washington,DC,Washington,District of Columbia,33,2012-12,528
66133,20009,Washington,DC,Washington,District of Columbia,33,2013-01,531
66133,20009,Washington,DC,Washington,District of Columbia,33,2013-02,533
66133,20009,Washington,DC,Washington,District of Columbia,33,2013-03,535
66133,20009,Washington,DC,Washington,District of Columbia,33,2013-04,538
66133,20009,Washington,DC,Washington,District of Columbia,33,2013-05,542
66133,20009,Washington,DC,Washington,District of Columbia,33,2013-06,547
66133,20009,Washington,DC,Washington,District of Columbia,33,2013-07,550
66133,20009,Washington,DC,Washington,District of Columbia,33,2013-08,555
66133,20009,Washington,DC,Washington,District of Columbia,33,2013-09,562
66133,20009,Washington,DC,Washington,District of Columbia,33,2013-10,570
66133,20009,Washington,DC,Washington,District of Columbia,33,2013-11,574
66133,20009,Washington,DC,Washington,District of Columbia,33,2013-12,576
66133,20009,Washington,DC,Washington,District of Columbia,33,2014-01,579
66133,20009,Washington,DC,Washington,District of Columbia,33,2014-02,584
66133,20009,Washington,DC,Washington,District of Columbia,33,2014-03,587
66133,20009,Washington,DC,Washington,District of Columbia,33,2014-04,588
66133,20009,Washington,DC,Washington,District of Columbia,33,2014-05,588
66133,20009,Washington,DC,Washington,District of Columbia,33,2014-06,587
66133,20009,Washington,DC,Washington,District of Columbia,33,2014-07,586
66133,20009,Washington,DC,Washington,District of Columbia,33,2014-08,586
66133,20009,Washington,DC,Washington,District of Columbia,33,2014-09,587
66133,20009,Washington,DC,Washington,District of Columbia,33,2014-10,587
66133,20009,Washington,DC,Washington,District of Columbia,33,2014-11,587
66133,20009,Washington,DC,Washington,District of Columbia,33,2014-12,587
66133,20009,Washington,DC,Washington,District of Columbia,33,2015-01,589
66133,20009,Washington,DC,Washington,District of Columbia,33,2015-02,590
66133,20009,Washington,DC,Washington,District of Columbia,33,2015-03,592
