RegionName,City,State,Metro,CountyName,SizeRank,Month,MedianListingPrice
20009,Washington,DC,Washington,District of Columbia,32,2010-01,
20009,Washington,DC,Washington,District of Columbia,32,2010-02,
20009,Washington,DC,Washington,District of Columbia,32,2010-03,
20009,Washington,DC,Washington,District of Columbia,32,2010-04,
20009,Washington,DC,Washington,District of Columbia,32,2010-05,
20009,Washington,DC,Washington,District of Columbia,32,2010-06,
20009,Washington,DC,Washington,District of Columbia,32,2010-07,
20009,Washington,DC,Washington,District of Columbia,32,2010-08,
20009,Washington,DC,Washington,District of Columbia,32,2010-09,
20009,Washington,DC,Washington,District of Columbia,32,2010-10,
20009,Washington,DC,Washington,District of Columbia,32,2010-11,
20009,Washington,DC,Washington,District of Columbia,32,2010-12,
20009,Washington,DC,Washington,District of Columbia,32,2011-01,
20009,Washington,DC,Washington,District of Columbia,32,2011-02,
20009,Washington,DC,Washington,District of Columbia,32,2011-03,
20009,Washington,DC,Washington,District of Columbia,32,2011-04,
20009,Washington,DC,Washington,District of Columbia,32,2011-05,
20009,Washington,DC,Washington,District of Columbia,32,2011-06,
20009,Washington,DC,Washington,District of Columbia,32,2011-07,
20009,Washington,DC,Washington,District of Columbia,32,2011-08,
20009,Washington,DC,Washington,District of Columbia,32,2011-09,425000
20009,Washington,DC,Washington,District of Columbia,32,2011-10,425000
20009,Washington,DC,Washington,District of Columbia,32,2011-11,435000
20009,Washington,DC,Washington,District of Columbia,32,2011-12,455900
20009,Washington,DC,Washington,District of Columbia,32,2012-01,459000
20009,Washington,DC,Washington,District of Columbia,32,2012-02,449700
20009,Washington,DC,Washington,District of Columbia,32,2012-03,439000
20009,Washington,DC,Washington,District of Columbia,32,2012-04,432500
20009,Washington,DC,Washington,District of Columbia,32,2012-05,412500
20009,Washington,DC,Washington,District of Columbia,32,2012-06,399948.5
20009,Washington,DC,Washington,District of Columbia,32,2012-07,419000
20009,Washington,DC,Washington,District of Columbia,32,2012-08,395000
20009,Washington,DC,Washington,District of Columbia,32,2012-09,399500
20009,Washington,DC,Washington,District of Columbia,32,2012-10,425000
20009,Washington,DC,Washington,District of Columbia,32,2012-11,442450
20009,Washington,DC,Washington,District of Columbia,32,2012-12,430000
20009,Washington,DC,Washington,District of Columbia,32,2013-01,419000
20009,Washington,DC,Washington,District of Columbia,32,2013-02,449450
20009,Washington,DC,Washington,District of Columbia,32,2013-03,442900
20009,Washington,DC,Washington,District of Columbia,32,2013-04,449949.5
20009,Washington,DC,Washington,District of Columbia,32,2013-05,499000
20009,Washington,DC,Washington,District of Columbia,32,2013-06,495000
20009,Washington,DC,Washington,District of Columbia,32,2013-07,474950
20009,Washington,DC,Washington,District of Columbia,32,2013-08,475000
20009,Washington,DC,Washington,District of Columbia,32,2013-09,461950
20009,Washington,DC,Washington,District of Columbia,32,2013-10,495000
20009,Washington,DC,Washington,District of Columbia,32,2013-11,474900
20009,Washington,DC,Washington,District of Columbia,32,2013-12,464000
20009,Washington,DC,Washington,District of Columbia,32,2014-01,419500
20009,Washington,DC,Washington,District of Columbia,32,2014-02,479000
20009,Washington,DC,Washington,District of Columbia,32,2014-03,459000
20009,Washington,DC,Washington,District of Columbia,32,2014-04,470000
20009,Washington,DC,Washington,District of Columbia,32,2014-05,450000
20009,Washington,DC,Washington,District of Columbia,32,2014-06,449000
20009,Washington,DC,Washington,District of Columbia,32,2014-07,439000
20009,Washington,DC,Washington,District of Columbia,32,2014-08,419000
20009,Washington,DC,Washington,District of Columbia,32,2014-09,442400
20009,Washington,DC,Washington,District of Columbia,32,2014-10,439900
20009,Washington,DC,Washington,District of Columbia,32,2014-11,459000
20009,Washington,DC,Washington,District of Columbia,32,2014-12,459000
20009,Washington,DC,Washington,District of Columbia,32,2015-01,444500
20009,Washington,DC,Washington,District of Columbia,32,2015-02,439000
20009,Washington,DC,Washington,District of Columbia,32,2015-03,437000
20009,Washington,DC,Washington,District of Columbia,32,2015-04,475000
20009,Washington,DC,Washington,District of Columbia,32,2015-05,489000
20009,Washington,DC,Washington,District of Columbia,32,2015-06,490000
20009,Washington,DC,Washington,District of Columbia,32,2015-07,479900
20009,Washington,DC,Washington,District of Columbia,32,2015-08,489900
20009,Washington,DC,Washington,District of Columbia,32,2015-09,499999.5
20009,Washington,DC,Washington,District of Columbia,32,2015-10,510000
20009,Washington,DC,Washington,District of Columbia,32,2015-11,508000
