RegionName,City,State,Metro,CountyName,SizeRank,Month,MedianRentalPricePerSqft
20009,Washington,DC,Washington,District of Columbia,32,2010-02,
20009,Washington,DC,Washington,District of Columbia,32,2010-03,
20009,Washington,DC,Washington,District of Columbia,32,2010-04,
20009,Washington,DC,Washington,District of Columbia,32,2010-05,
20009,Washington,DC,Washington,District of Columbia,32,2010-06,
20009,Washington,DC,Washington,District of Columbia,32,2010-07,
20009,Washington,DC,Washington,District of Columbia,32,2010-08,
20009,Washington,DC,Washington,District of Columbia,32,2010-09,
20009,Washington,DC,Washington,District of Columbia,32,2010-10,
20009,Washington,DC,Washington,District of Columbia,32,2010-11,
20009,Washington,DC,Washington,District of Columbia,32,2010-12,
20009,Washington,DC,Washington,District of Columbia,32,2011-01,3.349515
20009,Washington,DC,Washington,District of Columbia,32,2011-02,3.302846
20009,Washington,DC,Washington,District of Columbia,32,2011-03,3.235876
20009,Washington,DC,Washington,District of Columbia,32,2011-04,3.160999
20009,Washington,DC,Washington,District of Columbia,32,2011-05,3.088928
20009,Washington,DC,Washington,District of Columbia,32,2011-06,3.106451
20009,Washington,DC,Washington,District of Columbia,32,2011-07,3.19052
20009,Washington,DC,Washington,District of Columbia,32,2011-08,3.114509
20009,Washington,DC,Washington,District of Columbia,32,2011-09,3.11253
20009,Washington,DC,Washington,District of Columbia,32,2011-10,3.12232
20009,Washington,DC,Washington,District of Columbia,32,2011-11,2.960263
20009,Washington,DC,Washington,District of Columbia,32,2011-12,2.991427
20009,Washington,DC,Washington,District of Columbia,32,2012-01,2.854077
20009,Washington,DC,Washington,District of Columbia,32,2012-02,3.014318
20009,Washington,DC,Washington,District of Columbia,32,2012-03,3.054234
20009,Washington,DC,Washington,District of Columbia,32,2012-04,3.012692
20009,Washington,DC,Washington,District of Columbia,32,2012-05,3.19417
20009,Washington,DC,Washington,District of Columbia,32,2012-06,3.251252
20009,Washington,DC,Washington,District of Columbia,32,2012-07,3.175393
20009,Washington,DC,Washington,District of Columbia,32,2012-08,3.228782
20009,Washington,DC,Washington,District of Columbia,32,2012-09,3.215993
20009,Washington,DC,Washington,District of Columbia,32,2012-10,3.582906
20009,Washington,DC,Washington,District of Columbia,32,2012-11,3.634884
20009,Washington,DC,Washington,District of Columbia,32,2012-12,3.616379
20009,Washington,DC,Washington,District of Columbia,32,2013-01,3.625378
20009,Washington,DC,Washington,District of Columbia,32,2013-02,3.658574
20009,Washington,DC,Washington,District of Columbia,32,2013-03,3.745984
20009,Washington,DC,Washington,District of Columbia,32,2013-04,3.655378
20009,Washington,DC,Washington,District of Columbia,32,2013-05,3.397213
20009,Washington,DC,Washington,District of Columbia,32,2013-06,3.42
20009,Washington,DC,Washington,District of Columbia,32,2013-07,3.313428
20009,Washington,DC,Washington,District of Columbia,32,2013-08,3.428571
20009,Washington,DC,Washington,District of Columbia,32,2013-09,3.438424
20009,Washington,DC,Washington,District of Columbia,32,2013-10,3.362152
20009,Washington,DC,Washington,District of Columbia,32,2013-11,3.305625
20009,Washington,DC,Washington,District of Columbia,32,2013-12,3.217822
20009,Washington,DC,Washington,District of Columbia,32,2014-01,3.125
20009,Washington,DC,Washington,District of Columbia,32,2014-02,3.335925
20009,Washington,DC,Washington,District of Columbia,32,2014-03,3.3
20009,Washington,DC,Washington,District of Columbia,32,2014-04,3.254438
20009,Washington,DC,Washington,District of Columbia,32,2014-05,3.348997
20009,Washington,DC,Washington,District of Columbia,32,2014-06,3.276534
20009,Washington,DC,Washington,District of Columbia,32,2014-07,3.268942
20009,Washington,DC,Washington,District of Columbia,32,2014-08,3.334629
20009,Washington,DC,Washington,District of Columbia,32,2014-09,3.28084
20009,Washington,DC,Washington,District of Columbia,32,2014-10,3.25
20009,Washington,DC,Washington,District of Columbia,32,2014-11,3.222477
20009,Washington,DC,Washington,District of Columbia,32,2014-12,3.245614
20009,Washington,DC,Washington,District of Columbia,32,2015-01,3.347889
20009,Washington,DC,Washington,District of Columbia,32,2015-02,3.290306
20009,Washington,DC,Washington,District of Columbia,32,2015-03,3.467742
20009,Washington,DC,Washington,District of Columbia,32,2015-04,3.518124
20009,Washington,DC,Washington,District of Columbia,32,2015-05,3.568599
