RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,PriceToRentRatio
66133,20009,Washington,DC,Washington,District of Columbia,30,2010-10,15.56
66133,20009,Washington,DC,Washington,District of Columbia,30,2010-11,15.36
66133,20009,Washington,DC,Washington,District of Columbia,30,2010-12,15.11
66133,20009,Washington,DC,Washington,District of Columbia,30,2011-01,14.56
66133,20009,Washington,DC,Washington,District of Columbia,30,2011-02,14.35
66133,20009,Washington,DC,Washington,District of Columbia,30,2011-03,14.29
66133,20009,Washington,DC,Washington,District of Columbia,30,2011-04,14.24
66133,20009,Washington,DC,Washington,District of Columbia,30,2011-05,14.19
66133,20009,Washington,DC,Washington,District of Columbia,30,2011-06,14.01
66133,20009,Washington,DC,Washington,District of Columbia,30,2011-07,13.9
66133,20009,Washington,DC,Washington,District of Columbia,30,2011-08,13.85
66133,20009,Washington,DC,Washington,District of Columbia,30,2011-09,13.89
66133,20009,Washington,DC,Washington,District of Columbia,30,2011-10,13.9
66133,20009,Washington,DC,Washington,District of Columbia,30,2011-11,13.93
66133,20009,Washington,DC,Washington,District of Columbia,30,2011-12,14.02
66133,20009,Washington,DC,Washington,District of Columbia,30,2012-01,14.05
66133,20009,Washington,DC,Washington,District of Columbia,30,2012-02,14.11
66133,20009,Washington,DC,Washington,District of Columbia,30,2012-03,14.17
66133,20009,Washington,DC,Washington,District of Columbia,30,2012-04,14.07
66133,20009,Washington,DC,Washington,District of Columbia,30,2012-05,13.95
66133,20009,Washington,DC,Washington,District of Columbia,30,2012-06,14
66133,20009,Washington,DC,Washington,District of Columbia,30,2012-07,14.15
66133,20009,Washington,DC,Washington,District of Columbia,30,2012-08,14.27
66133,20009,Washington,DC,Washington,District of Columbia,30,2012-09,14.35
66133,20009,Washington,DC,Washington,District of Columbia,30,2012-10,14.47
66133,20009,Washington,DC,Washington,District of Columbia,30,2012-11,14.56
66133,20009,Washington,DC,Washington,District of Columbia,30,2012-12,14.7
66133,20009,Washington,DC,Washington,District of Columbia,30,2013-01,14.61
66133,20009,Washington,DC,Washington,District of Columbia,30,2013-02,14.57
66133,20009,Washington,DC,Washington,District of Columbia,30,2013-03,14.53
66133,20009,Washington,DC,Washington,District of Columbia,30,2013-04,14.6
66133,20009,Washington,DC,Washington,District of Columbia,30,2013-05,14.64
66133,20009,Washington,DC,Washington,District of Columbia,30,2013-06,14.6
66133,20009,Washington,DC,Washington,District of Columbia,30,2013-07,14.69
66133,20009,Washington,DC,Washington,District of Columbia,30,2013-08,14.73
66133,20009,Washington,DC,Washington,District of Columbia,30,2013-09,14.85
66133,20009,Washington,DC,Washington,District of Columbia,30,2013-10,15.11
66133,20009,Washington,DC,Washington,District of Columbia,30,2013-11,15.09
66133,20009,Washington,DC,Washington,District of Columbia,30,2013-12,15.24
66133,20009,Washington,DC,Washington,District of Columbia,30,2014-01,15.39
66133,20009,Washington,DC,Washington,District of Columbia,30,2014-02,15.5
66133,20009,Washington,DC,Washington,District of Columbia,30,2014-03,15.61
66133,20009,Washington,DC,Washington,District of Columbia,30,2014-04,15.87
66133,20009,Washington,DC,Washington,District of Columbia,30,2014-05,15.99
66133,20009,Washington,DC,Washington,District of Columbia,30,2014-06,16.05
66133,20009,Washington,DC,Washington,District of Columbia,30,2014-07,15.87
66133,20009,Washington,DC,Washington,District of Columbia,30,2014-08,15.8
66133,20009,Washington,DC,Washington,District of Columbia,30,2014-09,15.85
66133,20009,Washington,DC,Washington,District of Columbia,30,2014-10,15.81
66133,20009,Washington,DC,Washington,District of Columbia,30,2014-11,15.72
66133,20009,Washington,DC,Washington,District of Columbia,30,2014-12,15.7
66133,20009,Washington,DC,Washington,District of Columbia,30,2015-01,15.7
66133,20009,Washington,DC,Washington,District of Columbia,30,2015-02,15.71
66133,20009,Washington,DC,Washington,District of Columbia,30,2015-03,15.77
66133,20009,Washington,DC,Washington,District of Columbia,30,2015-04,15.83
66133,20009,Washington,DC,Washington,District of Columbia,30,2015-05,15.82
66133,20009,Washington,DC,Washington,District of Columbia,30,2015-06,15.79
66133,20009,Washington,DC,Washington,District of Columbia,30,2015-07,15.59
66133,20009,Washington,DC,Washington,District of Columbia,30,2015-08,15.54
66133,20009,Washington,DC,Washington,District of Columbia,30,2015-09,15.62
66133,20009,Washington,DC,Washington,District of Columbia,30,2015-10,15.74
66133,20009,Washington,DC,Washington,District of Columbia,30,2015-11,15.79
66133,20009,Washington,DC,Washington,District of Columbia,30,2015-12,16.19
66133,20009,Washington,DC,Washington,District of Columbia,30,2016-01,16.14
66133,20009,Washington,DC,Washington,District of Columbia,30,2016-02,16.07
66133,20009,Washington,DC,Washington,District of Columbia,30,2016-03,15.89
66133,20009,Washington,DC,Washington,District of Columbia,30,2016-04,15.8
66133,20009,Washington,DC,Washington,District of Columbia,30,2016-05,15.8
66133,20009,Washington,DC,Washington,District of Columbia,30,2016-06,15.81
66133,20009,Washington,DC,Washington,District of Columbia,30,2016-07,15.82
66133,20009,Washington,DC,Washington,District of Columbia,30,2016-08,15.86
66126,20002,Washington,DC,Washington,District of Columbia,38,2010-10,13.48
66126,20002,Washington,DC,Washington,District of Columbia,38,2010-11,13.3
66126,20002,Washington,DC,Washington,District of Columbia,38,2010-12,13.33
