RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,ZhvAvgYoY
66133,20009,Washington,DC,Washington,District of Columbia,30,1997-04,
66133,20009,Washington,DC,Washington,District of Columbia,30,1997-05,
66133,20009,Washington,DC,Washington,District of Columbia,30,1997-06,
66133,20009,Washington,DC,Washington,District of Columbia,30,1997-07,
66133,20009,Washington,DC,Washington,District of Columbia,30,1997-08,
66133,20009,Washington,DC,Washington,District of Columbia,30,1997-09,
66133,20009,Washington,DC,Washington,District of Columbia,30,1997-10,
66133,20009,Washington,DC,Washington,District of Columbia,30,1997-11,
66133,20009,Washington,DC,Washington,District of Columbia,30,1997-12,
66133,20009,Washington,DC,Washington,District of Columbia,30,1998-01,
66133,20009,Washington,DC,Washington,District of Columbia,30,1998-02,
66133,20009,Washington,DC,Washington,District of Columbia,30,1998-03,
66133,20009,Washington,DC,Washington,District of Columbia,30,1998-04,
66133,20009,Washington,DC,Washington,District of Columbia,30,1998-05,
66133,20009,Washington,DC,Washington,District of Columbia,30,1998-06,
66133,20009,Washington,DC,Washington,District of Columbia,30,1998-07,
66133,20009,Washington,DC,Washington,District of Columbia,30,1998-08,
66133,20009,Washington,DC,Washington,District of Columbia,30,1998-09,
66133,20009,Washington,DC,Washington,District of Columbia,30,1998-10,
66133,20009,Washington,DC,Washington,District of Columbia,30,1998-11,
66133,20009,Washington,DC,Washington,District of Columbia,30,1998-12,
66133,20009,Washington,DC,Washington,District of Columbia,30,1999-01,
66133,20009,Washington,DC,Washington,District of Columbia,30,1999-02,
66133,20009,Washington,DC,Washington,District of Columbia,30,1999-03,
66133,20009,Washington,DC,Washington,District of Columbia,30,1999-04,
66133,20009,Washington,DC,Washington,District of Columbia,30,1999-05,
66133,20009,Washington,DC,Washington,District of Columbia,30,1999-06,
66133,20009,Washington,DC,Washington,District of Columbia,30,1999-07,
66133,20009,Washington,DC,Washington,District of Columbia,30,1999-08,
66133,20009,Washington,DC,Washington,District of Columbia,30,1999-09,
66133,20009,Washington,DC,Washington,District of Columbia,30,1999-10,
66133,20009,Washington,DC,Washington,District of Columbia,30,1999-11,
66133,20009,Washington,DC,Washington,District of Columbia,30,1999-12,
66133,20009,Washington,DC,Washington,District of Columbia,30,2000-01,
