MonthYear,mimi,mimiStatus
2001-01-01,106.9,In Range
2001-02-01,107.1,In Range
2001-03-01,107.1,In Range
2001-04-01,107.9,In Range
2001-05-01,108.2,In Range
2001-06-01,108.1,In Range
2001-07-01,108.1,In Range
2001-08-01,107.4,In Range
2001-09-01,106.8,In Range
2001-10-01,106.1,In Range
2001-11-01,106.4,In Range
2001-12-01,108.5,In Range
2002-01-01,108.8,In Range
2002-02-01,108.7,In Range
2002-03-01,110.2,In Range
2002-04-01,110.6,In Range
2002-05-01,110.5,In Range
2002-06-01,110.4,In Range
2002-07-01,110.4,In Range
2002-08-01,110.1,In Range
2002-09-01,109.7,In Range
2002-10-01,110.5,In Range
2002-11-01,110.6,In Range
2002-12-01,110.9,In Range
2003-01-01,110.9,In Range
2003-02-01,110.8,In Range
2003-03-01,111.3,In Range
2003-04-01,112.3,In Range
2003-05-01,111.5,In Range
2003-06-01,111.5,In Range
2003-07-01,114.9,In Range
2003-08-01,118.4,In Range
2003-09-01,119.1,In Range
2003-10-01,119.6,In Range
2003-11-01,120.8,Elevated
2003-12-01,121.7,Elevated
2004-01-01,122.2,Elevated
2004-02-01,122.8,Elevated
2004-03-01,123.4,Elevated
2004-04-01,126.4,Elevated
2004-05-01,129.4,Elevated
2004-06-01,130.6,Elevated
2004-07-01,130.9,Elevated
2004-08-01,131.2,Elevated
2004-09-01,131.7,Elevated
2004-10-01,132.5,Elevated
2004-11-01,133.3,Elevated
2004-12-01,134.4,Elevated
2005-01-01,134.9,Elevated
2005-02-01,135.3,Elevated
2005-03-01,137.3,Elevated
2005-04-01,137.8,Elevated
2005-05-01,137.8,Elevated
2005-06-01,137.8,Elevated
2005-07-01,138.6,Elevated
2005-08-01,139.3,Elevated
2005-09-01,139.5,Elevated
2005-10-01,140.5,Elevated
2005-11-01,141.1,Elevated
2005-12-01,140.9,Elevated
2006-01-01,138.7,Elevated
2006-02-01,138.6,Elevated
2006-03-01,138.3,Elevated
2006-04-01,138,Elevated
2006-05-01,137.3,Elevated
2006-06-01,136.2,Elevated
2006-07-01,135.1,Elevated
2006-08-01,133.1,Elevated
2006-09-01,131.4,Elevated
2006-10-01,129.9,Elevated
2006-11-01,128.1,Elevated
2006-12-01,126.2,Elevated
2007-01-01,125,Elevated
2007-02-01,123.8,Elevated
2007-03-01,121.6,Elevated
2007-04-01,120,Elevated
2007-05-01,118.4,In Range
2007-06-01,117.9,In Range
2007-07-01,116,In Range
2007-08-01,113.9,In Range
2007-09-01,111.4,In Range
2007-10-01,109.7,In Range
2007-11-01,107.2,In Range
2007-12-01,105.2,In Range
2008-01-01,102.2,In Range
2008-02-01,101.2,In Range
2008-03-01,99.9,In Range
2008-04-01,98,In Range
2008-05-01,96.9,In Range
2008-06-01,96.6,In Range
2008-07-01,95.5,In Range
2008-08-01,94.3,In Range
2008-09-01,90.8,In Range
2008-10-01,89.9,In Range
2008-11-01,87.3,In Range
2008-12-01,81.9,In Range
2009-01-01,79,Weak
2009-02-01,77.9,Weak
2009-03-01,76.2,Weak
2009-04-01,74.2,Weak
2009-05-01,73.6,Weak
2009-06-01,75.6,Weak
2009-07-01,74.3,Weak
2009-08-01,73.5,Weak
2009-09-01,72.2,Weak
2009-10-01,71,Weak
2009-11-01,69.4,Weak
2009-12-01,69.3,Weak
2010-01-01,69.4,Weak
2010-02-01,69.4,Weak
2010-03-01,69.3,Weak
2010-04-01,70.1,Weak
2010-05-01,68.9,Weak
2010-06-01,68.7,Weak
2010-07-01,68,Weak
2010-08-01,67.5,Weak
2010-09-01,67.1,Weak
2010-10-01,66.6,Weak
2010-11-01,66.8,Weak
2010-12-01,68.6,Weak
2011-01-01,68.6,Weak
2011-02-01,69.6,Weak
2011-03-01,69.5,Weak
2011-04-01,69.5,Weak
2011-05-01,68.7,Weak
2011-06-01,68,Weak
2011-07-01,68,Weak
2011-08-01,67,Weak
2011-09-01,66.3,Weak
2011-10-01,66.2,Weak
2011-11-01,66.1,Weak
2011-12-01,66.3,Weak
2012-01-01,66.1,Weak
2012-02-01,66.3,Weak
2012-03-01,67,Weak
2012-04-01,67.1,Weak
2012-05-01,67.2,Weak
2012-06-01,67.1,Weak
2012-07-01,66.9,Weak
2012-08-01,67.6,Weak
2012-09-01,67.7,Weak
2012-10-01,67.7,Weak
2012-11-01,67.9,Weak
2012-12-01,68.5,Weak
2013-01-01,69.4,Weak
2013-02-01,70.5,Weak
2013-03-01,71.2,Weak
2013-04-01,71.5,Weak
2013-05-01,72.6,Weak
2013-06-01,75.5,Weak
2013-07-01,77.3,Weak
2013-08-01,78.5,Weak
2013-09-01,79.3,Weak
2013-10-01,78.1,Weak
2013-11-01,78.8,Weak
2013-12-01,80.5,In Range
2014-01-01,80.1,In Range
2014-02-01,79.8,Weak
2014-03-01,80.3,In Range
2014-04-01,80.4,In Range
2014-05-01,79.6,Weak
2014-06-01,79.3,Weak
2014-07-01,79,Weak
