X,Y,OBJECTID,STORENAME,ADDRESS,PHONE,PRESENT90,PRESENT95,PRESENT00,PRESENT05,PRESENT08,NOTES,X_COORD,Y_COORD,ADDRESS_ID,WARD,PRESENT09,PRESENT10,PRESENT11,PRESENT12,SSL
-76.98655152,38.88354906,1,Safeway,415 14TH STREET SE,2025474333,,,,,, ,401167.04,135078.34,26239,Ward 6,,,,,1042    0109
-77.07299916,38.93435149,2,Giant,3336 WISCONSINAVE NW,(202) 237-5820,,,,,, ,393671.02,140720.27,223125,Ward 3,,,,,1920    0832
-77.02485883,38.93845637,3,Safeway,3830 GEORGIA AVENUE NW,2028821140,,,,,, ,397845.01,141173.71,225076,Ward 4,,,,,2905    0814
-76.94745721,38.89313978,4,Safeway,322 40TH STREET NE,2023972802,,,,,, ,404558.4,136144.21,295141,Ward 7,,,,,5051N   0840
-77.03356775,38.90949911,5,Whole Foods,1440 P STREET NW,2023324300,,,,,,Logan Circle,397088.79,137959.45,279174,Ward 2,,,,,0210    0128
-77.03298601,38.92930823,6,Target,3100 14TH STREET NW,2027773773,,,,,, ,397140.04,140158.41,306304,Ward 1,,,,,2674    0721
-77.07161524,38.92093428,7,Whole Foods,2323 WISCONSIN AVENUE NW,2023335393,,,,,,Georgetown,393789.84,139230.75,284358,Ward 3,,,,,1299    1028
-77.07921472,38.94910889,8,Whole Foods,4530 40TH STREET NW,2022375800,,,,,,Tenley Town location,393133.54,142358.92,265175,Ward 3,,,,,1770    0804
-77.07645931,38.96555324,9,Magruder's,5626 CONNECTICUT AVE NW,(202) 686-5271,,,,,, ,393373.92,144184.19,263860,Ward 3,,,,,1860    0013
-77.04099386,38.92421518,10,Safeway,1747 COLUMBIA ROAD NW,2026670774,,,,,, ,396445.44,139593.32,284083,Ward 1,,,,,2580    0512
-77.02212531,38.90877072,11,Giant,1400 7th ST NW,(202) 238-0180,,,,,, ,398081.2,137878.29,304153,Ward 6,,,,,0398    0836
-77.03224562,38.91610088,12,Trader Joe's,1914 14TH STREET NW,2029861591,,,,,,U street,397203.72,138692.26,302384,Ward 2,,,,,0205    0847
-77.06756091,38.91612589,13,Safeway,1855 WISCONSIN AVENUE NW,2023333223,,,,,, ,394141.03,138696.71,224665,Ward 2,,,,,1299    1040
-76.98099934,38.84494948,14,Giant,1535 ALABAMA AVENUE SE,2026106464,,,,,,Camp Simms,401649.66,130793.59,306557,Ward 8,,,,,5912    0818
-77.03895584,38.91205752,15,Safeway,1701 CORCORAN STREET NW,2026676825,,,,,, ,396621.59,138243.64,241699,Ward 2,,,,,0155    0231
-77.0651504,38.90476755,16,Dean & DeLuca,3276 M STREET NW,2023422500,,,,,,Georgetown,394349.18,137435.69,273712,Ward 2,,,,,1186    0800
-77.0319237,38.93082174,17,Giant,1345 PARK ROAD NW,2027771077,,,,,,Tivoli Square,397232.21,140326.39,297595,Ward 1,,,,,2837    0079
-76.98662499,38.88020966,18,Harris Teeter,1350 POTOMAC AVENUE SE,2025431040,,,,,,Jenkins Row,401160.72,134707.64,303730,Ward 6,,,,,1045    0138
-77.05779049,38.93516643,19,Yes! Organic,3425 CONNECTICUT AVENUE NW,2023631559,,,,,,Cleveland Park,394989.7,140809.79,219254,Ward 3,,,,,2219    0005
-77.02669237,38.9067982,20,Capitol Super Market,1231 11TH STREET NW,2022891336,,,,,, ,397685.02,137659.43,239341,Ward 2,,,,,0340    0824
-77.00164702,38.90043782,21,Giant,300 H STREET NE,2025485100,,,,,,H street,399857.33,136953.04,308511,Ward 6,,,,,0776    0054
-77.01835492,38.9034968,22,Safeway,490 L STREET NW,2027192435,,,,,,Mt. Vernon Square,398408.1,137292.77,304767,Ward 6,,,,,0515    0158
-76.99039745,38.93682424,23,Yes! Organic,3809 12TH STREET NE,2028327715,,,,,,Brookland,400832.73,140992.28,30397,Ward 5,,,,,3925    0085
-77.09596214,38.91744141,24,Safeway,4865 MACARTHUR BOULEVARD NW,2023375649,,,,,, ,391678.11,138844.95,285004,Ward 3,,,,,1389    0025
-77.04371097,38.92180447,25,Yes! Organic,1825 COLUMBIA RD NW,(202) 462-2069,,,,,,Adams Morgan,396209.7,139325.82,295011,Ward 1,,,,,2549    0636
-77.05301447,38.90419895,26,Trader Joe's,1101 25TH STREET NW,2022961921,,,,,,West End,395401.79,137371.89,303613,Ward 2,,,,,0025    0022
-77.03844187,38.92198694,27,Harris Teeter,1631 KALORAMA ROAD NW,2029861415,,,,,,Citadel,396666.63,139345.87,284059,Ward 1,,,,,2572    0036
-76.99243095,38.91922981,28,Giant,1050 BRENTWOOD ROAD NE,2022813900,,,,,, ,400656.59,139039.13,299835,Ward 5,,,,,3854    0802
