,ZIP,PctForeignBorn_2010_14,PctFamiliesOwnChildrenFH_2010_14,PctPoorPersons_2010_14,PctPoorChildren_2010_14,PctPoorElderly_2010_14,PctUnemployed_2010_14,Pct16andOverEmployed_2010_14,Pct25andOverWoutHS_2010_14,PctHshldPhone_2010_14,PctHshldCar_2010_14,AvgFamilyIncAdj_2010_14,PctVacantHsgUnitsForRent_2010_14,PctOwnerOccupiedHsgUnits_2010_14
0,20001,15,46,18,28,27,8.2,66,14,97,58,108639,4,35
1,20002,7.9,48,19,23,18,12,64,13,97,66,106848,8.4,44
2,20003,7.4,26,13,23,12,6.7,65,8.1,98,74,179525,6.6,48
3,20004,23,6.7,14,21,27,3.1,80,6.8,99,45,223309,8.3,35
4,20005,24,6,13,17,26,4.9,78,9.9,99,46,133959,6.2,25
5,20006,14,,36,,0.6,8.9,30,0.2,96,26,69814,4.4,12
6,20007,19,14,11,2.3,2.7,3.8,68,1.7,96,80,283491,5.8,52
7,20008,19,11,8.3,3.9,4.8,3.3,75,2,97,67,239797,7.2,40
8,20009,19,35,10,20,17,5.3,80,7,97,55,145259,3.3,35
9,20010,27,41,14,24,17,7.3,73,18,97,56,93034,2.9,33
10,20011,24,41,15,22,13,12,60,15,97,72,92969,6.9,53
11,20012,19,25,11,13,7.2,11,63,12,98,85,131624,7.9,64
12,20015,14,11,6.2,1.8,2.9,2.9,66,3.8,98,85,264688,5.2,71
13,20016,20,10,11,1.9,3.5,4.7,58,2.9,99,84,259630,4.5,65
14,20017,8.9,44,16,17,13,20,51,11,99,76,82854,8.9,59
15,20018,9.3,54,19,16,24,19,48,15,98,70,86159,6.8,56
16,20019,3.6,76,29,40,16,22,46,19,97,57,52687,8.1,35
17,20020,2.5,77,34,50,22,19,45,17,96,58,51713,8.2,29
18,20024,13,56,13,28,5.9,8,68,6.7,96,59,115296,3.4,42
19,20032,2.6,74,38,52,23,30,42,17,95,53,44289,8.6,22
20,20036,20,12,13,8.1,4.3,2.2,78,1.3,98,36,145350,2.1,31
21,20037,23,26,18,22,11,4,58,2.3,97,45,235910,9.6,34
22,20052,13,,37,,0.6,9.1,29,18,96,31,,13,21
23,20057,16,,86,,0,7,24,0,100,100,0,,100
24,20059,8.2,26,17,16,17,13,44,11,96,70,95751,14,52
25,20064,20,48,28,32,19,8.7,46,12,87,65,65764,17,25
26,20332,6.5,8.8,3.1,2.8,0,2.7,80,0,98,96,81799,7.6,0
27,20336,6.5,8.8,3.1,2.8,0,2.7,80,0,98,96,81799,7.6,0
