,Rank,Rank_Year,School,School URL,District,District URL,City,City URL,Zip,County,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score,Rank Change from Prior Year,SchoolDigger Star Rating
0,1,2009-10,Key Elementary School,https://www.schooldigger.com/go/DC/schools/0003000174/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20016,District Of Columbia,PK,05,No,No,No,No,343,28.0,12.2,6.7,8.5,0.0,9.6,8.2,,,73.8,98.3,,5
1,2,2009-10,Mann Elementary School,https://www.schooldigger.com/go/DC/schools/0003000035/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20016,District Of Columbia,PK,05,No,No,No,No,269,27.0,9.9,2.6,8.2,0.0,6.7,6.3,,,78.8,98.1,,5
2,3,2009-10,Stoddert Elementary School,https://www.schooldigger.com/go/DC/schools/0003000050/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20007,District Of Columbia,PK,05,No,No,No,No,285,24.0,11.8,13.3,19.3,0.0,11.6,8.8,,,60.4,97.9,,5
3,4,2009-10,Janney Elementary School,https://www.schooldigger.com/go/DC/schools/0003000179/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20016,District Of Columbia,PK,05,No,No,No,No,444,31.0,14.3,2.7,14.0,0.7,6.1,5.6,,,73.6,97.8,,5
4,5,2009-10,St Coletta Special Education Pcs,https://www.schooldigger.com/go/DC/schools/0006400367/school.aspx,St Coletta Special Education Pcs,https://www.schooldigger.com/go/DC/district/00064/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20003,District Of Columbia,PK,KG,Yes,Yes,No,No,225,38.0,5.9,,88.4,0.0,0.0,6.2,,,5.3,97.2,,5
5,6,2009-10,Lafayette Elementary School,https://www.schooldigger.com/go/DC/schools/0003000045/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20015,District Of Columbia,PK,05,No,No,No,No,634,44.0,14.4,3.6,17.0,0.0,5.5,3.9,,,73.5,97.1,,5
6,7,2009-10,Murch Elementary School,https://www.schooldigger.com/go/DC/schools/0003000001/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20008,District Of Columbia,PK,05,No,No,No,No,480,39.0,12.3,13.1,19.8,0.0,10.4,7.3,,,62.5,96.0,,5
7,8,2009-10,Hyde Addison Elementary School,https://www.schooldigger.com/go/DC/schools/0003000180/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20007,District Of Columbia,PK,05,No,No,No,No,235,21.0,11.1,17.0,36.6,0.0,8.5,5.5,,,49.4,95.4,,5
8,9,2009-10,Eaton Elementary School,https://www.schooldigger.com/go/DC/schools/0003000096/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20008,District Of Columbia,PK,05,No,No,No,No,408,33.0,12.3,15.7,40.9,0.0,9.3,10.8,,,39.0,93.8,,5
9,10,2009-10,Oyster Adams Bilingual School Oyster,https://www.schooldigger.com/go/DC/schools/0003000160/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20008,District Of Columbia,PK,08,No,No,No,No,651,73.0,8.9,32.4,12.1,0.0,3.1,53.8,,,31.0,91.3,,5
10,11,2009-10,Hearst Elementary School,https://www.schooldigger.com/go/DC/schools/0003000183/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20008,District Of Columbia,PK,05,No,No,No,No,197,16.0,12.3,25.9,71.1,0.0,7.1,3.6,,,18.3,90.5,,5
11,12,2009-10,Ludlow Taylor Elementary School,https://www.schooldigger.com/go/DC/schools/0003000037/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20002,District Of Columbia,PK,05,Yes,No,No,No,193,23.0,8.3,82.9,89.1,0.0,0.0,4.1,,,6.7,88.1,,4
12,13,2009-10,J O Wilson Elementary School,https://www.schooldigger.com/go/DC/schools/0003000062/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20002,District Of Columbia,PK,05,Yes,No,No,No,327,29.0,11.2,90.8,96.0,0.0,0.3,1.2,,,2.4,87.9,,4
13,14,2009-10,Latin America Montessori Bilingual LAMB PCS,https://www.schooldigger.com/go/DC/schools/0003200247/school.aspx,Latin America Youth Bilingual Montessori LAMB PCS,https://www.schooldigger.com/go/DC/district/00032/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20011,District Of Columbia,PK,05,No,Yes,No,No,172,17.0,10.1,26.7,21.5,0.0,0.0,57.6,,,20.9,86.8,,4
14,15,2009-10,Cleveland Elementary School,https://www.schooldigger.com/go/DC/schools/0003000103/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20001,District Of Columbia,PK,05,Yes,No,No,No,264,31.0,8.5,86.0,70.1,0.0,0.4,29.2,,,0.4,86.7,,4
15,16,2009-10,Ross Elementary School,https://www.schooldigger.com/go/DC/schools/0003000027/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20009,District Of Columbia,PK,05,No,No,No,No,145,14.0,10.3,39.3,47.6,0.7,6.2,21.4,,,24.1,85.5,,4
16,17,2009-10,Barnard Elementary School,https://www.schooldigger.com/go/DC/schools/0003000119/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20011,District Of Columbia,PK,05,Yes,No,No,No,366,34.0,10.7,80.3,57.1,0.0,0.8,40.7,,,1.4,85.4,,4
17,18,2009-10,Capital City Lower Pcs,https://www.schooldigger.com/go/DC/schools/0003500253/school.aspx,Capital City Pcs,https://www.schooldigger.com/go/DC/district/00035/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20011,District Of Columbia,PK,04,Yes,Yes,No,No,244,24.0,10.1,40.2,35.7,0.0,3.7,28.3,,,32.4,84.6,,4
18,19,2009-10,Langdon Ec,https://www.schooldigger.com/go/DC/schools/0003000044/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20018,District Of Columbia,PK,08,Yes,No,No,No,419,33.0,12.7,68.7,97.6,0.0,0.2,1.4,,,0.7,83.2,,4
19,20,2009-10,Meridian Pcs,https://www.schooldigger.com/go/DC/schools/0001500229/school.aspx,Meridian Pcs,https://www.schooldigger.com/go/DC/district/00015/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20009,District Of Columbia,PK,08,Yes,Yes,No,No,515,40.0,12.8,80.4,68.7,0.0,0.4,30.7,,,0.2,82.6,,4
20,21,2009-10,Two Rivers Pcs Elementary School,https://www.schooldigger.com/go/DC/schools/0004500279/school.aspx,Two Rivers Pcs,https://www.schooldigger.com/go/DC/district/00045/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20002,District Of Columbia,PK,08,Yes,Yes,No,No,346,33.0,10.4,28.3,52.9,0.0,2.3,6.1,,,38.7,81.7,,4
21,22,2009-10,Watkins Elementary School Capitol Hill Cluster,https://www.schooldigger.com/go/DC/schools/0003000048/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20003,District Of Columbia,01,05,Yes,No,No,No,531,38.0,13.9,29.0,64.2,0.2,3.4,2.1,,,30.1,80.7,,4
