,Rank,Rank_Year,School,School URL,District,District URL,City,City URL,Zip,County,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score,Rank Change from Prior Year,SchoolDigger Star Rating
0,1,2009-10,Benjamin Banneker Academy High School,https://www.schooldigger.com/go/DC/schools/0003000153/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20001,District Of Columbia,09,12,Yes,No,Yes,No,393,34.0,11.5,52.2,86.8,0.0,3.3,8.9,,,1.0,99.2,,5
1,2,2009-10,School Without Walls High School,https://www.schooldigger.com/go/DC/schools/0003000131/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20037,District Of Columbia,09,12,Yes,No,Yes,No,441,43.0,10.2,24.9,59.4,0.5,5.2,8.4,,,26.5,98.9,,5
2,3,2009-10,McKinley Technology High School,https://www.schooldigger.com/go/DC/schools/0003000267/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20002,District Of Columbia,09,12,Yes,No,Yes,No,705,59.0,11.9,47.0,96.3,0.0,0.9,2.6,,,0.3,91.9,,5
3,4,2009-10,Thurgood Marshall Academy Pcs,https://www.schooldigger.com/go/DC/schools/0003400249/school.aspx,Thurgood Marshall Academy Pcs,https://www.schooldigger.com/go/DC/district/00034/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20020,District Of Columbia,09,12,Yes,Yes,No,No,389,34.0,11.4,72.2,99.7,0.0,0.0,0.3,,,0.0,86.0,,4
4,5,2009-10,Ellington School Of The Arts,https://www.schooldigger.com/go/DC/schools/0003000016/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20007,District Of Columbia,09,12,No,No,Yes,No,491,20.0,24.5,37.5,85.7,0.0,0.8,5.3,,,8.1,85.2,,4
5,6,2009-10,Wilson High School,https://www.schooldigger.com/go/DC/schools/0003000133/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20016,District Of Columbia,09,12,No,No,No,No,1483,112.0,13.2,42.5,51.1,0.1,8.1,17.3,,,23.3,84.8,,4
6,7,2009-10,Washington Latin Pcs Upper School,https://www.schooldigger.com/go/DC/schools/0001900423/school.aspx,Washington Latin Pcs,https://www.schooldigger.com/go/DC/district/00019/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20011,District Of Columbia,09,12,No,Yes,No,No,122,26.0,4.6,,68.9,1.6,6.6,9.0,,,13.9,84.6,,4
7,8,2009-10,Coolidge Senior High School,https://www.schooldigger.com/go/DC/schools/0003000081/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20011,District Of Columbia,09,12,Yes,No,No,No,581,51.0,11.3,77.3,91.9,0.0,0.2,7.9,,,0.0,67.5,,4
8,9,2009-10,Seed Pcs Of Washington Dc,https://www.schooldigger.com/go/DC/schools/0002200236/school.aspx,Seed Pcs Of Washington Dc,https://www.schooldigger.com/go/DC/district/00022/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20019,District Of Columbia,06,12,Yes,Yes,No,No,337,46.0,7.3,77.5,99.1,0.0,0.0,0.6,,,0.3,62.2,,4
9,10,2009-10,Friendship Pcs Woodson Collegiate Campus,https://www.schooldigger.com/go/DC/schools/0000800338/school.aspx,Friendship Pcs,https://www.schooldigger.com/go/DC/district/00008/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20019,District Of Columbia,09,12,Yes,Yes,No,No,1219,61.0,19.9,68.6,99.7,0.1,0.0,0.2,,,0.1,60.8,,3
10,11,2009-10,Phelps Architecture Construction and Engineering High School,https://www.schooldigger.com/go/DC/schools/0003000407/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20003,District Of Columbia,09,12,Yes,No,Yes,No,239,26.0,9.1,73.6,95.4,0.0,2.1,2.1,,,0.4,58.7,,3
11,12,2009-10,Washington Math Science Tech Pcs,https://www.schooldigger.com/go/DC/schools/0002600240/school.aspx,Washington Math Science Pcs,https://www.schooldigger.com/go/DC/district/00026/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20002,District Of Columbia,09,12,Yes,Yes,No,No,368,36.0,10.2,53.5,98.9,0.0,0.0,1.1,,,0.0,57.6,,3
12,13,2009-10,Perry Street Prep Pcs,https://www.schooldigger.com/go/DC/schools/0001100225/school.aspx,Perry Street Preparatory Pcs,https://www.schooldigger.com/go/DC/district/00011/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20018,District Of Columbia,PK,12,Yes,Yes,No,No,741,66.0,11.2,71.8,97.7,0.0,0.3,2.0,,,0.0,56.2,,3
13,14,2009-10,Cesar Chavez For Public Policy Capitol Hill Pcs,https://www.schooldigger.com/go/DC/schools/0000500219/school.aspx,Cesar Chavez Public Pcs,https://www.schooldigger.com/go/DC/district/00005/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20003,District Of Columbia,09,12,Yes,Yes,No,No,427,57.0,7.4,63.5,83.8,0.0,0.2,15.7,,,0.2,55.6,,3
14,15,2009-10,Idea Pcs,https://www.schooldigger.com/go/DC/schools/0001300227/school.aspx,Idea Pcs,https://www.schooldigger.com/go/DC/district/00013/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20019,District Of Columbia,09,12,Yes,Yes,No,No,468,39.0,12.0,85.7,98.3,0.2,0.6,0.6,,,0.2,52.3,,3
15,16,2009-10,Roosevelt High School At Macfarland,https://www.schooldigger.com/go/DC/schools/0003000008/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20011,District Of Columbia,09,12,Yes,No,No,No,684,66.0,10.3,79.5,70.8,0.0,0.4,28.5,,,0.3,43.6,,2
16,17,2009-10,Columbia Heights Ec,https://www.schooldigger.com/go/DC/schools/0003000396/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20010,District Of Columbia,06,12,Yes,No,No,No,1276,106.0,12.0,88.9,30.3,0.0,2.7,66.5,,,0.5,43.2,,2
17,18,2009-10,Dunbar High School,https://www.schooldigger.com/go/DC/schools/0003000079/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20001,District Of Columbia,09,12,Yes,No,No,No,837,66.0,12.6,91.8,98.2,0.0,0.2,1.4,,,0.1,31.3,,2
18,19,2009-10,Ballou Senior High School,https://www.schooldigger.com/go/DC/schools/0003000084/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20032,District Of Columbia,09,12,Yes,No,No,No,1162,88.0,13.2,81.7,99.6,0.1,0.0,0.2,,,0.2,30.1,,2
19,20,2009-10,Hospitality High School,https://www.schooldigger.com/go/DC/schools/0001000224/school.aspx,Washington Hospitality Foundation,https://www.schooldigger.com/go/DC/district/00010/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20001,District Of Columbia,09,12,Yes,No,No,No,174,25.0,6.9,82.2,95.4,0.0,0.0,4.6,,,0.0,29.7,,2
20,21,2009-10,Maya Angelou Pcs Evans High School,https://www.schooldigger.com/go/DC/schools/0001400391/school.aspx,Maya Angelou Pcs,https://www.schooldigger.com/go/DC/district/00014/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20019,District Of Columbia,09,12,Yes,Yes,No,No,416,29.0,14.3,40.4,99.8,0.0,0.0,0.2,,,0.0,23.6,,2
21,22,2009-10,Cardozo Ec,https://www.schooldigger.com/go/DC/schools/0003000082/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20009,District Of Columbia,06,12,Yes,No,No,No,631,63.0,10.0,76.2,73.4,0.3,2.4,23.8,,,0.2,22.7,,1
22,23,2009-10,Woodson H D High School,https://www.schooldigger.com/go/DC/schools/0003000055/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20019,District Of Columbia,09,12,Yes,No,No,No,545,54.0,10.0,,100.0,0.0,0.0,0.0,,,0.0,21.6,,1
23,24,2009-10,Washington Metropolitan High School Formerly Yea,https://www.schooldigger.com/go/DC/schools/0003000397/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20001,District Of Columbia,09,12,Yes,No,No,No,126,,,,100.0,0.0,0.0,0.0,,,0.0,20.1,,1
24,25,2009-10,Luke Moore Alternative High School,https://www.schooldigger.com/go/DC/schools/0003000198/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20017,District Of Columbia,09,12,Yes,No,No,No,336,25.0,13.4,85.7,98.8,0.0,0.0,1.2,,,0.0,19.6,,1
25,26,2009-10,Anacostia Senior High School,https://www.schooldigger.com/go/DC/schools/0003000085/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20020,District Of Columbia,09,12,Yes,No,No,No,836,64.0,13.0,88.2,100.0,0.0,0.0,0.0,,,0.0,17.7,,1
26,27,2009-10,Spingarn Senior High School,https://www.schooldigger.com/go/DC/schools/0003000130/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20002,District Of Columbia,09,12,(n/a),No,(n/a),No,538,43.0,12.5,92.0,99.1,0.0,0.2,0.7,,,0.0,14.4,,0
27,28,2009-10,Options Pcs,https://www.schooldigger.com/go/DC/schools/0001800232/school.aspx,Options Pcs,https://www.schooldigger.com/go/DC/district/00018/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20002,District Of Columbia,07,12,Yes,Yes,No,No,319,61.0,5.2,84.0,99.1,0.0,0.6,0.3,,,0.0,10.4,,0
28,1,2010-11,Mamie D Lee School,https://www.schooldigger.com/go/DC/schools/0003000090/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20011,District Of Columbia,01,12,Yes,No,No,No,83,21.0,3.9,96.4,92.8,0.0,1.2,6.0,0.0,0.0,0.0,97.2,,5
29,2,2010-11,School Without Walls High School,https://www.schooldigger.com/go/DC/schools/0003000131/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20037,District Of Columbia,09,12,Yes,No,Yes,No,456,39.1,11.6,22.6,52.0,0.7,3.7,12.5,0.4,2.6,28.1,96.9,0.0,5
30,3,2010-11,Benjamin Banneker Academy High School,https://www.schooldigger.com/go/DC/schools/0003000153/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20001,District Of Columbia,09,12,Yes,No,Yes,No,427,30.0,14.2,48.7,86.2,0.0,1.6,11.2,0.0,0.9,0.0,96.1,-2.0,5
31,4,2010-11,McKinley Technology High School,https://www.schooldigger.com/go/DC/schools/0003000267/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20002,District Of Columbia,09,12,Yes,No,Yes,No,689,48.0,14.3,53.6,95.2,0.4,0.4,3.0,0.0,0.6,0.3,93.0,-1.0,4
32,5,2010-11,Ellington School Of The Arts,https://www.schooldigger.com/go/DC/schools/0003000016/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20007,District Of Columbia,09,12,No,No,Yes,No,506,13.0,38.9,37.8,79.8,0.0,1.2,8.3,0.0,2.4,8.3,88.8,0.0,4
