,Rank,Rank_Year,School,School URL,District,District URL,City,City URL,Zip,County,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score,Rank Change from Prior Year,SchoolDigger Star Rating
0,1,2009-10,Deal Middle School,https://www.schooldigger.com/go/DC/schools/0003000138/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20016,District Of Columbia,06,8,No,No,No,No,866,66.0,13.1,28.3,44.5,0.8,6.9,10.7,,,37.1,94.4,,5
1,2,2009-10,Washington Latin Pcs Middle School,https://www.schooldigger.com/go/DC/schools/0001900324/school.aspx,Washington Latin Pcs,https://www.schooldigger.com/go/DC/district/00019/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20011,District Of Columbia,05,8,No,Yes,No,No,310,31.0,10.0,,45.8,0.0,5.2,9.0,,,40.0,94.1,,5
2,3,2009-10,D C Prep Edgewood Middle Campus Pcs,https://www.schooldigger.com/go/DC/schools/0004800277/school.aspx,Dc Preparatory Academy Pcs,https://www.schooldigger.com/go/DC/district/00048/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20017,District Of Columbia,04,8,Yes,Yes,No,No,248,30.0,8.2,76.6,95.2,0.0,0.0,4.0,,,0.8,93.3,,5
3,4,2009-10,Kipp Dc Key Academy Pcs,https://www.schooldigger.com/go/DC/schools/0003100246/school.aspx,Kipp Academy Pcs,https://www.schooldigger.com/go/DC/district/00031/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20019,District Of Columbia,03,8,Yes,Yes,No,No,328,22.0,14.9,62.2,99.4,0.0,0.0,0.0,,,0.6,92.8,,5
4,5,2009-10,EL Haynes PCS Middle School,https://www.schooldigger.com/go/DC/schools/0004300274/school.aspx,El Haynes Pcs,https://www.schooldigger.com/go/DC/district/00043/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20010,District Of Columbia,05,8,Yes,Yes,No,No,460,46.0,10.0,64.1,54.1,0.0,2.8,24.6,,,18.5,92.4,,5
5,6,2009-10,Kipp Dc Will Academy Pcs,https://www.schooldigger.com/go/DC/schools/0003100376/school.aspx,Kipp Academy Pcs,https://www.schooldigger.com/go/DC/district/00031/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20001,District Of Columbia,04,8,Yes,Yes,No,No,319,23.0,13.8,81.5,99.4,0.0,0.0,0.6,,,0.0,91.9,,5
6,7,2009-10,Oyster Adams Bilingual School Oyster,https://www.schooldigger.com/go/DC/schools/0003000160/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20008,District Of Columbia,PK,8,No,No,No,No,651,73.0,8.9,32.4,12.1,0.0,3.1,53.8,,,31.0,90.8,,4
7,8,2009-10,Kipp Dc Aim Pcs Academy Pcs,https://www.schooldigger.com/go/DC/schools/0003100381/school.aspx,Kipp Academy Pcs,https://www.schooldigger.com/go/DC/district/00031/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20020,District Of Columbia,05,8,Yes,Yes,No,No,330,24.0,13.7,89.4,100.0,0.0,0.0,0.0,,,0.0,86.9,,4
8,9,2009-10,Hardy Middle School,https://www.schooldigger.com/go/DC/schools/0003000186/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20007,District Of Columbia,06,8,Yes,No,No,No,418,35.0,11.9,40.7,74.9,0.2,5.0,9.6,,,10.3,86.2,,4
9,10,2009-10,Stuart Hobson Middle School Capitol Hill Cluster,https://www.schooldigger.com/go/DC/schools/0003000191/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20002,District Of Columbia,06,8,Yes,No,No,No,410,33.0,12.4,47.3,82.2,0.2,0.0,2.9,,,14.6,83.8,,4
10,11,2009-10,Howard University Middle School of Math and Science PCS,https://www.schooldigger.com/go/DC/schools/0005800308/school.aspx,Howard University Middle School Of Math And Science,https://www.schooldigger.com/go/DC/district/00058/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20059,District Of Columbia,06,8,Yes,Yes,No,No,285,20.0,14.2,58.3,94.0,0.0,0.4,5.6,,,0.0,83.3,,4
11,12,2009-10,Meridian Pcs,https://www.schooldigger.com/go/DC/schools/0001500229/school.aspx,Meridian Pcs,https://www.schooldigger.com/go/DC/district/00015/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20009,District Of Columbia,PK,8,Yes,Yes,No,No,515,40.0,12.8,80.4,68.7,0.0,0.4,30.7,,,0.2,81.4,,4
12,13,2009-10,Noyes Elementary School,https://www.schooldigger.com/go/DC/schools/0003000164/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20018,District Of Columbia,PK,8,Yes,No,No,No,379,32.0,11.8,92.1,95.5,0.0,0.0,4.0,,,0.5,77.4,,4
13,14,2009-10,Paul Pcs Middle School,https://www.schooldigger.com/go/DC/schools/0003900257/school.aspx,Paul JHS PCS,https://www.schooldigger.com/go/DC/district/00039/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20011,District Of Columbia,06,8,Yes,Yes,No,No,667,62.0,10.7,70.6,80.4,0.0,0.0,19.6,,,0.0,76.8,,4
14,15,2009-10,Langdon Ec,https://www.schooldigger.com/go/DC/schools/0003000044/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20018,District Of Columbia,PK,8,Yes,No,No,No,419,33.0,12.7,68.7,97.6,0.0,0.2,1.4,,,0.7,73.2,,4
15,16,2009-10,Cesar Chavez Pcs For Public Policy Chavez Prep,https://www.schooldigger.com/go/DC/schools/0000500377/school.aspx,Cesar Chavez Public Pcs,https://www.schooldigger.com/go/DC/district/00005/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20010,District Of Columbia,06,9,Yes,Yes,No,No,231,22.0,10.5,89.6,38.1,0.0,1.3,60.2,,,0.4,68.6,,4
16,17,2009-10,Seed Pcs Of Washington Dc,https://www.schooldigger.com/go/DC/schools/0002200236/school.aspx,Seed Pcs Of Washington Dc,https://www.schooldigger.com/go/DC/district/00022/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20019,District Of Columbia,06,12,Yes,Yes,No,No,337,46.0,7.3,77.5,99.1,0.0,0.0,0.6,,,0.3,66.8,,4
17,18,2009-10,Community Academy Capcs Online,https://www.schooldigger.com/go/DC/schools/0000700380/school.aspx,Community Academy Pcs,https://www.schooldigger.com/go/DC/district/00007/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20005,District Of Columbia,KG,8,Yes,Yes,No,Yes,110,1.0,110.0,0.0,72.7,0.0,0.9,2.7,,,23.6,66.8,,4
18,19,2009-10,Center City Trinidad Campus Pcs,https://www.schooldigger.com/go/DC/schools/0007300403/school.aspx,Center City Pcs,https://www.schooldigger.com/go/DC/district/00073/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20002,District Of Columbia,PK,8,Yes,Yes,No,No,198,18.0,11.0,19.7,98.5,0.0,0.0,1.5,,,0.0,65.2,,3
