RegionName,StateName,Month,Sales
20001,DC,2008-06,84
20001,DC,2008-07,78
20001,DC,2008-08,81
20001,DC,2008-09,68
20001,DC,2008-10,54
20001,DC,2008-11,52
20001,DC,2008-12,54
20001,DC,2009-01,54
20001,DC,2009-02,35
20001,DC,2009-03,45
20001,DC,2009-04,68
20001,DC,2009-05,60
20001,DC,2009-06,85
20001,DC,2009-07,87
20001,DC,2009-08,81
20001,DC,2009-09,104
20001,DC,2009-10,56
20001,DC,2009-11,76
20001,DC,2009-12,68
20001,DC,2010-01,149
20001,DC,2010-02,35
20001,DC,2010-03,53
20001,DC,2010-04,72
20001,DC,2010-05,94
20001,DC,2010-06,77
20001,DC,2010-07,49
20001,DC,2010-08,75
20001,DC,2010-09,45
20001,DC,2010-10,41
20001,DC,2010-11,43
20001,DC,2010-12,41
20001,DC,2011-01,39
20001,DC,2011-02,36
20001,DC,2011-03,54
20001,DC,2011-04,38
20001,DC,2011-05,55
20001,DC,2011-06,48
20001,DC,2011-07,49
20001,DC,2011-08,51
20001,DC,2011-09,42
20001,DC,2011-10,44
20001,DC,2011-11,35
20001,DC,2011-12,49
20001,DC,2012-01,39
20001,DC,2012-02,39
20001,DC,2012-03,47
20001,DC,2012-04,43
20001,DC,2012-05,59
20001,DC,2012-06,66
20001,DC,2012-07,60
20001,DC,2012-08,62
20001,DC,2012-09,66
20001,DC,2012-10,62
20001,DC,2012-11,48
20001,DC,2012-12,62
20001,DC,2013-01,54
20001,DC,2013-02,53
20001,DC,2013-03,64
20001,DC,2013-04,59
20001,DC,2013-05,65
20001,DC,2013-06,87
20001,DC,2013-07,64
20001,DC,2013-08,66
20001,DC,2013-09,52
20001,DC,2013-10,54
20001,DC,2013-11,48
20001,DC,2013-12,60
20001,DC,2014-01,51
20001,DC,2014-02,63
20001,DC,2014-03,54
20001,DC,2014-04,76
20001,DC,2014-05,88
20001,DC,2014-06,68
20001,DC,2014-07,101
20001,DC,2014-08,58
20001,DC,2014-09,48
20001,DC,2014-10,58
20001,DC,2014-11,44
20001,DC,2014-12,55
20001,DC,2015-01,35
20001,DC,2015-02,31
20001,DC,2015-03,50
20001,DC,2015-04,74
20001,DC,2015-05,63
20001,DC,2015-06,81
20001,DC,2015-07,66
20001,DC,2015-08,60
20001,DC,2015-09,47
20001,DC,2015-10,58
20001,DC,2015-11,95
20001,DC,2015-12,53
