RegionName,RegionType,City,CountyName,Metro,StateFullName,DataTypeDescription,Month,Inventory
20009,Zip,Washington,District of Columbia,Washington,District of Columbia,All Homes,2010-01,122
20009,Zip,Washington,District of Columbia,Washington,District of Columbia,All Homes,2010-02,128
20009,Zip,Washington,District of Columbia,Washington,District of Columbia,All Homes,2010-03,181
20009,Zip,Washington,District of Columbia,Washington,District of Columbia,All Homes,2010-04,234
20009,Zip,Washington,District of Columbia,Washington,District of Columbia,All Homes,2010-05,236
20009,Zip,Washington,District of Columbia,Washington,District of Columbia,All Homes,2010-06,238
20009,Zip,Washington,District of Columbia,Washington,District of Columbia,All Homes,2010-07,230
20009,Zip,Washington,District of Columbia,Washington,District of Columbia,All Homes,2010-08,183
20009,Zip,Washington,District of Columbia,Washington,District of Columbia,All Homes,2010-09,186
20009,Zip,Washington,District of Columbia,Washington,District of Columbia,All Homes,2010-10,237
20009,Zip,Washington,District of Columbia,Washington,District of Columbia,All Homes,2010-11,248
20009,Zip,Washington,District of Columbia,Washington,District of Columbia,All Homes,2010-12,200
20009,Zip,Washington,District of Columbia,Washington,District of Columbia,All Homes,2011-01,163
20009,Zip,Washington,District of Columbia,Washington,District of Columbia,All Homes,2011-02,184
20009,Zip,Washington,District of Columbia,Washington,District of Columbia,All Homes,2011-03,219
20009,Zip,Washington,District of Columbia,Washington,District of Columbia,All Homes,2011-04,236
20009,Zip,Washington,District of Columbia,Washington,District of Columbia,All Homes,2011-05,248
20009,Zip,Washington,District of Columbia,Washington,District of Columbia,All Homes,2011-06,260
20009,Zip,Washington,District of Columbia,Washington,District of Columbia,All Homes,2011-07,281
20009,Zip,Washington,District of Columbia,Washington,District of Columbia,All Homes,2011-08,277
20009,Zip,Washington,District of Columbia,Washington,District of Columbia,All Homes,2011-09,253
20009,Zip,Washington,District of Columbia,Washington,District of Columbia,All Homes,2011-10,236
20009,Zip,Washington,District of Columbia,Washington,District of Columbia,All Homes,2011-11,239
20009,Zip,Washington,District of Columbia,Washington,District of Columbia,All Homes,2011-12,210
