RegionName,City,State,Metro,CountyName,SizeRank,Month,MedianListingPrice
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2010-01,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2010-02,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2010-03,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2010-04,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2010-05,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2010-06,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2010-07,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2010-08,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2010-09,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2010-10,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2010-11,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2010-12,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2011-01,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2011-02,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2011-03,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2011-04,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2011-05,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2011-06,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2011-07,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2011-08,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2011-09,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2011-10,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2011-11,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2011-12,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2012-01,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2012-02,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2012-03,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2012-04,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2012-05,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2012-06,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2012-07,
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2012-08,422400
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2012-09,407450
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2012-10,399900
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2012-11,399900
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2012-12,359450
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2013-01,392500
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2013-02,399900
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2013-03,469777.5
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2013-04,485000
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2013-05,499000
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2013-06,487000
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2013-07,475000
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2013-08,474777.5
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2013-09,417450
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2013-10,452450
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2013-11,405000
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2013-12,447000
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2014-01,449000
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2014-02,499900
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2014-03,499949.5
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2014-04,532500
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2014-05,525000
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2014-06,530000
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2014-07,525000
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2014-08,518500
Columbia Heights,Washington,DC,Washington,District of Columbia,247,2014-09,569000
