RegionName,City,State,Metro,CountyName,SizeRank,Month,MeidanRentalPrice
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2010-02,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2010-03,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2010-04,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2010-05,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2010-06,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2010-07,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2010-08,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2010-09,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2010-10,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2010-11,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2010-12,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2011-01,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2011-02,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2011-03,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2011-04,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2011-05,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2011-06,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2011-07,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2011-08,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2011-09,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2011-10,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2011-11,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2011-12,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2012-01,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2012-02,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2012-03,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2012-04,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2012-05,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2012-06,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2012-07,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2012-08,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2012-09,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2012-10,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2012-11,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2012-12,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2013-01,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2013-02,
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2013-03,2700
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2013-04,2700
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2013-05,2700
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2013-06,2600
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2013-07,2350
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2013-08,2530
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2013-09,2460
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2013-10,2600
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2013-11,2650
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2013-12,2775
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2014-01,2550
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2014-02,2425
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2014-03,2450
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2014-04,2450
Adams Morgan,Washington,DC,Washington,District of Columbia,281,2014-05,2700
