RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,PctTransactions
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,1998-01,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,1998-02,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,1998-03,14.2857
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,1998-04,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,1998-05,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,1998-06,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,1998-07,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,1998-08,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,1998-09,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,1998-10,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,1998-11,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,1998-12,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,1999-01,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,1999-02,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,1999-03,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,1999-04,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,1999-05,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,1999-06,6.6666
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,1999-07,4.6667
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,1999-08,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,1999-09,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,1999-10,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,1999-11,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,1999-12,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2000-01,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2000-02,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2000-03,2.8011
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2000-04,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2000-05,2.7976
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2000-06,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2000-07,3.75
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2000-08,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2000-09,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2000-10,2.1739
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2000-11,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2000-12,2.3188
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2001-01,3.3406
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2001-02,2.0217
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2001-03,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2001-04,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2001-05,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2001-06,2.2727
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2001-07,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2001-08,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2001-09,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2001-10,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2001-11,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2001-12,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2002-01,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2002-02,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2002-03,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2002-04,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2002-05,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2002-06,1.0638
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2002-07,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2002-08,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2002-09,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2002-10,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2002-11,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2002-12,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2003-01,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2003-02,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2003-03,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2003-04,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2003-05,1.4706
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2003-06,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2003-07,1.7925
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,247,2003-08,
