RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,Zhvi
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1996-04,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1996-05,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1996-06,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1996-07,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1996-08,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1996-09,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1996-10,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1996-11,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1996-12,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1997-01,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1997-02,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1997-03,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1997-04,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1997-05,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1997-06,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1997-07,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1997-08,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1997-09,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1997-10,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1997-11,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1997-12,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1998-01,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1998-02,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1998-03,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1998-04,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1998-05,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1998-06,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1998-07,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1998-08,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1998-09,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1998-10,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,257,1998-11,
