RegionName,City,State,Metro,CountyName,SizeRank,Month,MedianListingPricePerSqft
20009,Washington,DC,Washington,District of Columbia,40,2010-01,513.1429
20009,Washington,DC,Washington,District of Columbia,40,2010-02,520.7387
20009,Washington,DC,Washington,District of Columbia,40,2010-03,531.2472
20009,Washington,DC,Washington,District of Columbia,40,2010-04,510.582
20009,Washington,DC,Washington,District of Columbia,40,2010-05,510.8466
20009,Washington,DC,Washington,District of Columbia,40,2010-06,515.0412
20009,Washington,DC,Washington,District of Columbia,40,2010-07,516.8884
20009,Washington,DC,Washington,District of Columbia,40,2010-08,508.7963
20009,Washington,DC,Washington,District of Columbia,40,2010-09,496.7949
20009,Washington,DC,Washington,District of Columbia,40,2010-10,515.0473
20009,Washington,DC,Washington,District of Columbia,40,2010-11,514.2196
20009,Washington,DC,Washington,District of Columbia,40,2010-12,508.2113
20009,Washington,DC,Washington,District of Columbia,40,2011-01,506.4194
20009,Washington,DC,Washington,District of Columbia,40,2011-02,516.8884
20009,Washington,DC,Washington,District of Columbia,40,2011-03,517.7596
20009,Washington,DC,Washington,District of Columbia,40,2011-04,500.1206
20009,Washington,DC,Washington,District of Columbia,40,2011-05,502.3224
20009,Washington,DC,Washington,District of Columbia,40,2011-06,508.2459
20009,Washington,DC,Washington,District of Columbia,40,2011-07,481.6709
20009,Washington,DC,Washington,District of Columbia,40,2011-08,515.1976
20009,Washington,DC,Washington,District of Columbia,40,2011-09,504.5455
20009,Washington,DC,Washington,District of Columbia,40,2011-10,507.4708
20009,Washington,DC,Washington,District of Columbia,40,2011-11,504.053
20009,Washington,DC,Washington,District of Columbia,40,2011-12,503.7981
20009,Washington,DC,Washington,District of Columbia,40,2012-01,499.875
20009,Washington,DC,Washington,District of Columbia,40,2012-02,494.7341
20009,Washington,DC,Washington,District of Columbia,40,2012-03,493.2534
20009,Washington,DC,Washington,District of Columbia,40,2012-04,504.7319
20009,Washington,DC,Washington,District of Columbia,40,2012-05,509.3868
20009,Washington,DC,Washington,District of Columbia,40,2012-06,518.484
20009,Washington,DC,Washington,District of Columbia,40,2012-07,538.6691
20009,Washington,DC,Washington,District of Columbia,40,2012-08,537.7393
20009,Washington,DC,Washington,District of Columbia,40,2012-09,541.9104
20009,Washington,DC,Washington,District of Columbia,40,2012-10,536.1398
20009,Washington,DC,Washington,District of Columbia,40,2012-11,543.4755
20009,Washington,DC,Washington,District of Columbia,40,2012-12,538.3333
20009,Washington,DC,Washington,District of Columbia,40,2013-01,537.5817
20009,Washington,DC,Washington,District of Columbia,40,2013-02,530.7385
20009,Washington,DC,Washington,District of Columbia,40,2013-03,524.5685
20009,Washington,DC,Washington,District of Columbia,40,2013-04,555.6793
20009,Washington,DC,Washington,District of Columbia,40,2013-05,555.6793
20009,Washington,DC,Washington,District of Columbia,40,2013-06,557.098
20009,Washington,DC,Washington,District of Columbia,40,2013-07,555.2241
20009,Washington,DC,Washington,District of Columbia,40,2013-08,554.7656
20009,Washington,DC,Washington,District of Columbia,40,2013-09,560.9756
20009,Washington,DC,Washington,District of Columbia,40,2013-10,574.3629
20009,Washington,DC,Washington,District of Columbia,40,2013-11,576.668
20009,Washington,DC,Washington,District of Columbia,40,2013-12,570.2614
20009,Washington,DC,Washington,District of Columbia,40,2014-01,568.2159
20009,Washington,DC,Washington,District of Columbia,40,2014-02,580.8804
20009,Washington,DC,Washington,District of Columbia,40,2014-03,587.3162
20009,Washington,DC,Washington,District of Columbia,40,2014-04,580.7971
20009,Washington,DC,Washington,District of Columbia,40,2014-05,588.4261
20009,Washington,DC,Washington,District of Columbia,40,2014-06,587.9085
20009,Washington,DC,Washington,District of Columbia,40,2014-07,580.7114
20009,Washington,DC,Washington,District of Columbia,40,2014-08,578.125
20009,Washington,DC,Washington,District of Columbia,40,2014-09,586.1009
